rxcui;nui;drugname
281;N0000147084;ACYCLOVIR
281;N0000007269;Acyclovir [Chemical/Ingredient]
290;N0000147177;ADENINE
290;N0000007309;Adenine [Chemical/Ingredient]
296;N0000147627;ADENOSINE
296;N0000007355;Adenosine [Chemical/Ingredient]
309;N0000147254;ADENOSINE PHOSPHATE
309;N0000170817;Adenosine Monophosphate [Chemical/Ingredient]
318;N0000180300;ADENOSINE TRIPHOSPHATE
318;N0000170830;Adenosine Triphosphate [Chemical/Ingredient]
362;N0000146375;EPINEPHRINE HYDROCHLORIDE
362;N0000178879;Epinephrine Hydrochloride [Chemical/Ingredient]
376;N0000006478;Adrenocorticotropic Hormone [Chemical/Ingredient]
376;N0000146845;CORTICOTROPIN
388;N0000146438;POLYMYXIN B SULFATE
397;N0000148065;AGAR
397;N0000006609;Agar [Chemical/Ingredient]
411;N0000147377;AIR
423;N0000166953;Ajmaline [Chemical/Ingredient]
426;N0000146978;ALANINE
426;N0000007363;Alanine [Chemical/Ingredient]
430;N0000148464;ALBENDAZOLE
430;N0000006466;Albendazole [Chemical/Ingredient]
433;N0000147691;ALBUMIN
433;N0000007388;Albumins [Chemical/Ingredient]
435;N0000147099;ALBUTEROL
435;N0000007409;Albuterol [Chemical/Ingredient]
448;N0000145812;ALCOHOL
448;N0000146104;ALCOHOL,ETHYL
448;N0000007432;Ethanol [Chemical/Ingredient]
455;N0000007439;Alcohols [Chemical/Ingredient]
460;N0000166958;Alcuronium [Chemical/Ingredient]
480;N0000147693;ALFENTANIL
480;N0000006447;Alfentanil [Chemical/Ingredient]
508;N0000146926;ALLANTOIN
508;N0000005787;Allantoin [Chemical/Ingredient]
513;N0000166347;Allethrin [Chemical/Ingredient]
519;N0000146247;ALLOPURINOL
519;N0000005830;Allopurinol [Chemical/Ingredient]
525;N0000167406;Allylestrenol [Chemical/Ingredient]
528;N0000167166;Almitrine [Chemical/Ingredient]
535;N0000006589;alpha 1-Antitrypsin [Chemical/Ingredient]
541;N0000006710;Interferon-alpha [Chemical/Ingredient]
560;N0000167701;alpha-Amylases [Chemical/Ingredient]
569;N0000021586;EFLORNITHINE
569;N0000006592;Eflornithine [Chemical/Ingredient]
594;N0000147694;ALPHAPRODINE
594;N0000006607;Alphaprodine [Chemical/Ingredient]
595;N0000167416;Algestone [Chemical/Ingredient]
596;N0000146413;ALPRAZOLAM
596;N0000006611;Alprazolam [Chemical/Ingredient]
597;N0000166828;Alprenolol [Chemical/Ingredient]
598;N0000146437;ALPROSTADIL
598;N0000006614;Alprostadil [Chemical/Ingredient]
599;N0000147124;ALSEROXYLON
599;N0000178880;Alseroxylon [Chemical/Ingredient]
612;N0000146330;ALUMINUM (AS HYDROXIDE)
612;N0000146920;ALUMINUM HYDROXIDE
612;N0000006641;Aluminum Hydroxide [Chemical/Ingredient]
613;N0000147499;ALUMINUM HYDROXIDE GEL
613;N0000178882;Aluminum Hydroxide Gel [Chemical/Ingredient]
615;N0000008161;Aluminum Oxide [Chemical/Ingredient]
620;N0000147697;AMANTADINE
620;N0000006670;Amantadine [Chemical/Ingredient]
623;N0000020242;AMBENONIUM
624;N0000146577;AMBENONIUM CHLORIDE
624;N0000006673;Ambenonium Chloride [Chemical/Ingredient]
625;N0000166542;Ambroxol [Chemical/Ingredient]
626;N0000167000;Amdinocillin [Chemical/Ingredient]
627;N0000167001;Amdinocillin Pivoxil [Chemical/Ingredient]
632;N0000146471;MITOMYCIN
632;N0000006570;Mitomycin [Chemical/Ingredient]
641;N0000147698;AMIKACIN
641;N0000006770;Amikacin [Chemical/Ingredient]
643;N0000146474;AMIKACIN SULFATE
643;N0000178883;Amikacin Sulfate [Chemical/Ingredient]
644;N0000147699;AMILORIDE
644;N0000006772;Amiloride [Chemical/Ingredient]
645;N0000147700;AMINACRINE
645;N0000006774;Aminacrine [Chemical/Ingredient]
658;N0000146997;AMINO ACIDS
658;N0000006806;Amino Acids [Chemical/Ingredient]
677;N0000147087;AMINOGLUTETHIMIDE
677;N0000005707;Aminoglutethimide [Chemical/Ingredient]
683;N0000176068;AMINOLEVULINIC ACID
683;N0000170216;Aminolevulinic Acid [Chemical/Ingredient]
689;N0000146397;AMINOPHYLLINE
689;N0000005738;Aminophylline [Chemical/Ingredient]
695;N0000167058;Aminopyrine [Chemical/Ingredient]
703;N0000147701;AMIODARONE
703;N0000005761;Amiodarone [Chemical/Ingredient]
704;N0000147702;AMITRIPTYLINE
704;N0000005763;Amitriptyline [Chemical/Ingredient]
712;N0000146891;AMMONIUM CHLORIDE
712;N0000005786;Ammonium Chloride [Chemical/Ingredient]
719;N0000145880;AMOBARBITAL
719;N0000005827;Amobarbital [Chemical/Ingredient]
720;N0000147704;AMODIAQUINE
720;N0000005832;Amodiaquine [Chemical/Ingredient]
722;N0000146270;AMOXAPINE
722;N0000005838;Amoxapine [Chemical/Ingredient]
723;N0000145985;AMOXICILLIN
723;N0000005840;Amoxicillin [Chemical/Ingredient]
725;N0000147705;AMPHETAMINE
725;N0000005864;Amphetamine [Chemical/Ingredient]
732;N0000145996;AMPHOTERICIN B
732;N0000005870;Amphotericin B [Chemical/Ingredient]
733;N0000145927;AMPICILLIN
733;N0000005873;Ampicillin [Chemical/Ingredient]
738;N0000147706;AMRINONE
738;N0000005907;Amrinone [Chemical/Ingredient]
738;N0000148677;INAMRINONE
739;N0000171765;AMSACRINE
739;N0000167273;Amsacrine [Chemical/Ingredient]
742;N0000145899;AMYL NITRITE
742;N0000005927;Amyl Nitrite [Chemical/Ingredient]
743;N0000146748;AMYLASE
743;N0000005932;Amylases [Chemical/Ingredient]
772;N0000171453;Ancrod [Chemical/Ingredient]
784;N0000148795;ANDROSTENEDIONE
784;N0000010065;Androstenedione [Chemical/Ingredient]
820;N0000166632;Anethole Trithione [Chemical/Ingredient]
865;N0000147709;ANTAZOLINE
865;N0000006006;Antazoline [Chemical/Ingredient]
866;N0000147395;ANTAZOLINE PHOSPHATE
866;N0000178884;Antazoline Phosphate [Chemical/Ingredient]
873;N0000146914;ANTHRALIN
873;N0000006034;Anthralin [Chemical/Ingredient]
938;N0000178297;Antifungal Agent [TC]
938;N0000029088;[AM700] ANTIFUNGALS
981;N0000147345;ANTIMONY POTASSIUM TARTRATE
981;N0000006951;Antimony Potassium Tartrate [Chemical/Ingredient]
1001;N0000146454;ANTIPYRINE
1001;N0000007006;Antipyrine [Chemical/Ingredient]
1009;N0000021300;ANTITHROMBIN III
1009;N0000007028;Antithrombin III [Chemical/Ingredient]
1011;N0000020200;ANTI-THYMOCYTE GLOBULIN
1011;N0000146435;GLOBULIN,ANTI-THYMOCYTE
1029;N0000167162;Apazone [Chemical/Ingredient]
1043;N0000147712;APOMORPHINE
1043;N0000006482;Apomorphine [Chemical/Ingredient]
1054;N0000167348;Aprindine [Chemical/Ingredient]
1056;N0000148360;APROTININ
1056;N0000007185;Aprotinin [Chemical/Ingredient]
1056;N0000184173;Kallikrein-Trypsin Inactivator [EPC]
1091;N0000146979;ARGININE
1091;N0000007331;Arginine [Chemical/Ingredient]
1098;N0000011387;Arginine Vasopressin [Chemical/Ingredient]
1111;N0000022206;ARSENIC
1111;N0000166177;Arsenic [Chemical/Ingredient]
1115;N0000146251;TRIHEXYPHENIDYL HYDROCHLORIDE
1115;N0000178885;Trihexyphenidyl Hydrochloride [Chemical/Ingredient
1151;N0000145859;ASCORBIC ACID
1151;N0000006439;Ascorbic Acid [Chemical/Ingredient]
1151;N0000146025;VITAMIN C
1151;N0000029269;[VT400] VITAMIN C
1156;N0000146324;ASPARAGINASE
1156;N0000006477;Asparaginase [Chemical/Ingredient]
1157;N0000170238;Asparagine [Chemical/Ingredient]
1169;N0000146991;ASPARTIC ACID
1169;N0000006508;Aspartic Acid [Chemical/Ingredient]
1182;N0000148558;ASPERGILLUS FUMIGATUS
1191;N0000145918;ASPIRIN
1191;N0000006582;Aspirin [Chemical/Ingredient]
1202;N0000146784;ATENOLOL
1202;N0000006639;Atenolol [Chemical/Ingredient]
1218;N0000147713;ATRACURIUM
1218;N0000006674;Atracurium [Chemical/Ingredient]
1219;N0000147081;ATRACURIUM BESYLATE
1219;N0000178886;Atracurium Besylate [Chemical/Ingredient]
1223;N0000147687;ATROPINE
1223;N0000006695;Atropine [Chemical/Ingredient]
1225;N0000146725;HYOSCYAMINE SULFATE
1227;N0000146358;AURANOFIN
1227;N0000007406;Auranofin [Chemical/Ingredient]
1251;N0000148852;AZACITIDINE
1251;N0000010550;Azacitidine [Chemical/Ingredient]
1256;N0000147069;AZATHIOPRINE
1256;N0000005799;Azathioprine [Chemical/Ingredient]
1266;N0000147715;AZLOCILLIN
1266;N0000005863;Azlocillin [Chemical/Ingredient]
1272;N0000146126;AZTREONAM
1272;N0000005876;Aztreonam [Chemical/Ingredient]
1291;N0000145879;BACITRACIN
1291;N0000006608;Bacitracin [Chemical/Ingredient]
1292;N0000146719;BACLOFEN
1292;N0000006613;Baclofen [Chemical/Ingredient]
1325;N0000147286;BARBITAL
1325;N0000006739;Barbital [Chemical/Ingredient]
1331;N0000146525;BARIUM SULFATE
1331;N0000006747;Barium Sulfate [Chemical/Ingredient]
1344;N0000147189;BACILLUS CALMETTE-GUERIN VACCINE
1344;N0000147717;BCG VACCINE
1344;N0000010507;BCG Vaccine [Chemical/Ingredient]
1347;N0000147718;BECLOMETHASONE
1347;N0000005706;Beclomethasone [Chemical/Ingredient]
1348;N0000147096;BECLOMETHASONE DIPROPIONATE
1348;N0000178887;Beclomethasone Dipropionate [Chemical/Ingredient]
1356;N0000022637;BEESWAX
1356;N0000023399;WAX,YELLOW
1356;N0000007261;beeswax [Chemical/Ingredient]
1359;N0000145912;BELLADONNA ALKALOIDS
1359;N0000005785;Belladonna Alkaloids [Chemical/Ingredient]
1361;N0000147719;BENACTYZINE
1361;N0000005789;Benactyzine [Chemical/Ingredient]
1362;N0000146219;DIPHENHYDRAMINE HYDROCHLORIDE
1362;N0000178888;Diphenhydramine Hydrochloride [Chemical/Ingredient
1367;N0000166387;Bencyclane [Chemical/Ingredient]
1369;N0000145992;BENDROFLUMETHIAZIDE
1369;N0000005797;Bendroflumethiazide [Chemical/Ingredient]
1373;N0000166794;Benperidol [Chemical/Ingredient]
1374;N0000166563;Benserazide [Chemical/Ingredient]
1375;N0000147555;BENTONITE
1375;N0000005829;Bentonite [Chemical/Ingredient]
1378;N0000021326;BENZALKONIUM
1379;N0000146579;BENZALKONIUM CHLORIDE
1379;N0000178890;Benzalkonium Chloride [Chemical/Ingredient]
1385;N0000166974;Benzbromarone [Chemical/Ingredient]
1388;N0000146530;LINDANE
1388;N0000005867;Lindane [Chemical/Ingredient]
1390;N0000005872;Benzethonium [Chemical/Ingredient]
1399;N0000146455;BENZOCAINE
1399;N0000005906;Benzocaine [Chemical/Ingredient]
1406;N0000147353;BENZOIN
1406;N0000005936;Benzoin [Chemical/Ingredient]
1418;N0000146882;BENZOYL PEROXIDE
1418;N0000005968;Benzoyl Peroxide [Chemical/Ingredient]
1422;N0000147721;BENZPHETAMINE
1422;N0000005977;Benzphetamine [Chemical/Ingredient]
1424;N0000147723;BENZTROPINE
1424;N0000007558;Benztropine [Chemical/Ingredient]
1425;N0000167053;Benzydamine [Chemical/Ingredient]
1426;N0000146159;ALCOHOL,BENZYL
1426;N0000145833;BENZYL ALCOHOL
1426;N0000006750;Benzyl Alcohol [Chemical/Ingredient]
1436;N0000147724;BEPRIDIL
1436;N0000006461;Bepridil [Chemical/Ingredient]
1437;N0000167309;Berberine [Chemical/Ingredient]
1437;N0000181309;BERBERINE
1511;N0000167237;Betahistine [Chemical/Ingredient]
1512;N0000147725;BETAINE
1512;N0000006734;Betaine [Chemical/Ingredient]
1514;N0000146957;BETAMETHASONE
1514;N0000006737;Betamethasone [Chemical/Ingredient]
1516;N0000146958;BETAMETHASONE ACETATE
1517;N0000146954;BETAMETHASONE BENZOATE
1520;N0000147726;BETAXOLOL
1520;N0000006532;Betaxolol [Chemical/Ingredient]
1523;N0000166585;Bethanidine [Chemical/Ingredient]
1525;N0000166742;Bezafibrate [Chemical/Ingredient]
1540;N0000146739;BILE SALTS
1540;N0000178891;Bile Salts [Chemical/Ingredient]
1562;N0000021480;BIOFLAVONOID
1562;N0000148536;BIOFLAVONOIDS
1562;N0000178892;Bioflavonoids [Chemical/Ingredient]
1588;N0000146018;BIOTIN
1588;N0000005852;Biotin [Chemical/Ingredient]
1589;N0000147728;BIPERIDEN
1589;N0000007878;Biperiden [Chemical/Ingredient]
1596;N0000146848;BISACODYL
1596;N0000005898;Bisacodyl [Chemical/Ingredient]
1598;N0000147021;DICUMAROL
1598;N0000005904;Dicumarol [Chemical/Ingredient]
1599;N0000148861;BISMUTH
1599;N0000007888;Bismuth [Chemical/Ingredient]
1621;N0000146472;BLEOMYCIN SULFATE
1621;N0000178893;Bleomycin Sulfate [Chemical/Ingredient]
1622;N0000147730;BLEOMYCIN
1622;N0000006022;Bleomycin [Chemical/Ingredient]
1700;N0000146538;BORIC ACID
1700;N0000007157;boric acid [Chemical/Ingredient]
1705;N0000148267;BORON
1705;N0000007066;Boron [Chemical/Ingredient]
1712;N0000148265;BOTULINUM TOXIN TYPE A
1712;N0000004423;Botulinum Toxins, Type A [Chemical/Ingredient]
1713;N0000148696;BOTULINUM TOXIN TYPE B
1713;N0000004424;rimabotulinumtoxinB [Chemical/Ingredient]
1737;N0000147046;BRETYLIUM TOSYLATE
1737;N0000006102;Bretylium Tosylate [Chemical/Ingredient]
1748;N0000166197;Bromates [Chemical/Ingredient]
1749;N0000166922;Bromazepam [Chemical/Ingredient]
1752;N0000147461;BROMELAINS
1752;N0000006128;Bromelains [Chemical/Ingredient]
1753;N0000166541;Bromhexine [Chemical/Ingredient]
1760;N0000147732;BROMOCRIPTINE
1760;N0000006163;Bromocriptine [Chemical/Ingredient]
1767;N0000147734;BROMPHENIRAMINE
1767;N0000006177;Brompheniramine [Chemical/Ingredient]
1796;N0000166889;Bufexamac [Chemical/Ingredient]
1808;N0000146155;BUMETANIDE
1808;N0000007386;Bumetanide [Chemical/Ingredient]
1813;N0000147888;LEVOBUNOLOL
1813;N0000007411;Levobunolol [Chemical/Ingredient]
1815;N0000147736;BUPIVACAINE
1815;N0000007415;Bupivacaine [Chemical/Ingredient]
1817;N0000166825;Bupranolol [Chemical/Ingredient]
1819;N0000147737;BUPRENORPHINE
1819;N0000007417;Buprenorphine [Chemical/Ingredient]
1825;N0000170309;Buserelin [Chemical/Ingredient]
1827;N0000147739;BUSPIRONE
1827;N0000007480;Buspirone [Chemical/Ingredient]
1828;N0000147076;BUSULFAN
1828;N0000007483;Busulfan [Chemical/Ingredient]
1829;N0000147564;BUTACAINE
1829;N0000007340;butacaine [Chemical/Ingredient]
1841;N0000147743;BUTORPHANOL
1841;N0000005711;Butorphanol [Chemical/Ingredient]
1848;N0000148078;BUTYLATED HYDROXYTOLUENE
1848;N0000005732;Butylated Hydroxytoluene [Chemical/Ingredient]
1851;N0000166994;Butylscopolammonium Bromide [Chemical/Ingredient]
1886;N0000145919;CAFFEINE
1886;N0000006506;Caffeine [Chemical/Ingredient]
1889;N0000020410;CALCIFEDIOL
1889;N0000006507;Calcifediol [Chemical/Ingredient]
1889;N0000029458;[VT501] CALCIFEDIOL
1894;N0000146161;CALCITRIOL
1894;N0000006511;Calcitriol [Chemical/Ingredient]
1894;N0000029459;[VT502] CALCITRIOL
1895;N0000146031;CALCIUM
1895;N0000006512;Calcium [Chemical/Ingredient]
1895;N0000029437;[TN420] CALCIUM
1897;N0000147306;CALCIUM (AS CALCIUM CARBONATE)
1897;N0000147304;CALCIUM (AS CARBONATE)
1897;N0000146023;CALCIUM CARBONATE
1897;N0000006514;Calcium Carbonate [Chemical/Ingredient]
1901;N0000146424;CALCIUM CHLORIDE
1901;N0000006545;Calcium Chloride [Chemical/Ingredient]
1903;N0000145971;EDETATE CALCIUM DISODIUM
1903;N0000178895;Edetate Disodium Calcium [Chemical/Ingredient]
1904;N0000166481;Calcium Dobesilate [Chemical/Ingredient]
1905;N0000166213;Calcium Fluoride [Chemical/Ingredient]
1908;N0000146426;CALCIUM GLUCONATE
1908;N0000006549;Calcium Gluconate [Chemical/Ingredient]
1909;N0000147425;CALCIUM (AS GLYCEROPHOSPHATE)
1909;N0000146072;CALCIUM GLYCEROPHOSPHATE
1909;N0000178896;Calcium Glycerophosphate [Chemical/Ingredient]
1910;N0000147684;CALCIUM HYDROXIDE
1910;N0000006550;Calcium Hydroxide [Chemical/Ingredient]
1910;N0000147560;LIME WATER
1911;N0000178897;Calcium Ipodate [Chemical/Ingredient]
1911;N0000146003;IPODATE CALCIUM
1917;N0000181304;CALCIUM PANGAMATE
1918;N0000146007;CALCIUM PANTOTHENATE
1918;N0000178898;Calcium Pantothenate [Chemical/Ingredient]
1918;N0000148171;PANTOTHENIC ACID (AS CALCIUM)
1919;N0000148058;CALCIUM PHOSPHATE
1919;N0000006548;calcium phosphate [Chemical/Ingredient]
1925;N0000146074;CALCIUM (AS SULFATE)
1925;N0000146059;CALCIUM SULFATE
1925;N0000006584;Calcium Sulfate [Chemical/Ingredient]
1951;N0000166933;Cambendazole [Chemical/Ingredient]
1952;N0000145916;CAMPHOR
1952;N0000006667;Camphor [Chemical/Ingredient]
1963;N0000148529;CANDIDA ALBICANS
1976;N0000166366;Cannabinol [Chemical/Ingredient]
1981;N0000167425;Canrenoate Potassium [Chemical/Ingredient]
1982;N0000167426;Canrenone [Chemical/Ingredient]
1984;N0000147295;CANTHARIDIN
1984;N0000006744;Cantharidin [Chemical/Ingredient]
1987;N0000145847;CAPREOMYCIN SULFATE
1987;N0000007414;Capreomycin Sulfate [Chemical/Ingredient]
1992;N0000147626;CAPSAICIN
1992;N0000007430;Capsaicin [Chemical/Ingredient]
1995;N0000135688;Capsule [Dose Form]
1998;N0000145994;CAPTOPRIL
1998;N0000007435;Captopril [Chemical/Ingredient]
1999;N0000146899;CARBACHOL
1999;N0000007437;Carbachol [Chemical/Ingredient]
2002;N0000146226;CARBAMAZEPINE
2002;N0000007470;Carbamazepine [Chemical/Ingredient]
2015;N0000147746;CARBENICILLIN
2015;N0000007482;Carbenicillin [Chemical/Ingredient]
2017;N0000166341;Carbenoxolone [Chemical/Ingredient]
2019;N0000146299;CARBIDOPA
2019;N0000005697;Carbidopa [Chemical/Ingredient]
2020;N0000167064;Carbimazole [Chemical/Ingredient]
2023;N0000170286;Carbocysteine [Chemical/Ingredient]
2034;N0000147376;CARBON DIOXIDE
2034;N0000005729;Carbon Dioxide [Chemical/Ingredient]
2037;N0000147407;CARBON MONOXIDE
2037;N0000005737;Carbon Monoxide [Chemical/Ingredient]
2051;N0000146433;CARBOPROST
2051;N0000005780;Carboprost [Chemical/Ingredient]
2062;N0000147749;CARBOXYMETHYLCELLULOSE
2068;N0000166471;Carbutamide [Chemical/Ingredient]
2101;N0000146778;CARISOPRODOL
2101;N0000006668;Carisoprodol [Chemical/Ingredient]
2105;N0000148463;CAMUSTINE
2105;N0000146473;CARMUSTINE
2105;N0000006684;Carmustine [Chemical/Ingredient]
2106;N0000148430;CARNITINE
2106;N0000006688;Carnitine [Chemical/Ingredient]
2116;N0000147523;CARTEOLOL
2116;N0000006743;Carteolol [Chemical/Ingredient]
2129;N0000145784;CASTOR OIL
2129;N0000156460;CASTOR OIL [VA Product]
2129;N0000006776;Castor Oil [Chemical/Ingredient]
2133;N0000148379;CATALASE
2133;N0000006796;Catalase [Chemical/Ingredient]
2176;N0000145917;CEFACLOR
2176;N0000005816;Cefaclor [Chemical/Ingredient]
2177;N0000146488;CEFADROXIL
2177;N0000005821;Cefadroxil [Chemical/Ingredient]
2178;N0000147750;CEFAMANDOLE
2178;N0000007873;Cefamandole [Chemical/Ingredient]
2179;N0000166880;Cefatrizine [Chemical/Ingredient]
2180;N0000147751;CEFAZOLIN
2180;N0000005828;Cefazolin [Chemical/Ingredient]
2182;N0000147752;CEFMETAZOLE
2182;N0000006096;Cefmetazole [Chemical/Ingredient]
2183;N0000147753;CEFONICID
2183;N0000006564;Cefonicid [Chemical/Ingredient]
2184;N0000147754;CEFOPERAZONE
2184;N0000005833;Cefoperazone [Chemical/Ingredient]
2186;N0000147755;CEFOTAXIME
2186;N0000005835;Cefotaxime [Chemical/Ingredient]
2187;N0000147756;CEFOTETAN
2187;N0000006099;Cefotetan [Chemical/Ingredient]
2188;N0000166878;Cefotiam [Chemical/Ingredient]
2189;N0000147757;CEFOXITIN
2189;N0000005855;Cefoxitin [Chemical/Ingredient]
2190;N0000166876;Cefsulodin [Chemical/Ingredient]
2191;N0000145931;CEFTAZIDIME
2191;N0000005860;Ceftazidime [Chemical/Ingredient]
2192;N0000147758;CEFTIZOXIME
2192;N0000007155;Ceftizoxime [Chemical/Ingredient]
2193;N0000147759;CEFTRIAXONE
2193;N0000005862;Ceftriaxone [Chemical/Ingredient]
2194;N0000147760;CEFUROXIME
2194;N0000007881;Cefuroxime [Chemical/Ingredient]
2219;N0000147130;CELLULASE
2219;N0000005989;Cellulase [Chemical/Ingredient]
2221;N0000147309;CELLULOSE
2221;N0000005997;Cellulose [Chemical/Ingredient]
2222;N0000147267;CELLULOSE,OXIDIZED
2222;N0000005999;Cellulose, Oxidized [Chemical/Ingredient]
2228;N0000166682;Meclofenoxate [Chemical/Ingredient]
2231;N0000147185;CEPHALEXIN
2231;N0000006717;Cephalexin [Chemical/Ingredient]
2233;N0000008008;Cephaloridine [Chemical/Ingredient]
2236;N0000147761;CEPHALOTHIN
2236;N0000006733;Cephalothin [Chemical/Ingredient]
2238;N0000147762;CEPHAPIRIN
2238;N0000006738;Cephapirin [Chemical/Ingredient]
2239;N0000146111;CEPHRADINE
2239;N0000006740;Cephradine [Chemical/Ingredient]
2243;N0000168602;Ceramides [Chemical/Ingredient]
2286;N0000147763;CETYLPYRIDINIUM
2286;N0000006978;Cetylpyridinium [Chemical/Ingredient]
2287;N0000147354;CETYLPYRIDINIUM CHLORIDE
2287;N0000178899;Cetylpyridinium Chloride [Chemical/Ingredient]
2296;N0000147348;CHARCOAL
2296;N0000005865;Charcoal [Chemical/Ingredient]
2323;N0000020371;CHENODEOXYCHOLIC ACID
2323;N0000146754;CHENODIOL
2323;N0000005963;Chenodeoxycholic Acid [Chemical/Ingredient]
2344;N0000146094;CHLORAL HYDRATE
2344;N0000006140;Chloral Hydrate [Chemical/Ingredient]
2346;N0000147072;CHLORAMBUCIL
2346;N0000006141;Chlorambucil [Chemical/Ingredient]
2348;N0000146533;CHLORAMPHENICOL
2348;N0000006813;Chloramphenicol [Chemical/Ingredient]
2348;N0000029080;[AM150] CHLORAMPHENICOL
2353;N0000147780;CLORAZEPATE
2354;N0000147764;CHLORCYCLIZINE
2354;N0000178900;chlorcyclizine [Chemical/Ingredient]
2356;N0000146141;CHLORDIAZEPOXIDE
2356;N0000006824;Chlordiazepoxide [Chemical/Ingredient]
2358;N0000147765;CHLORHEXIDINE
2358;N0000006835;Chlorhexidine [Chemical/Ingredient]
2369;N0000167455;Chlormadinone Acetate [Chemical/Ingredient]
2372;N0000167093;Chlormethiazole [Chemical/Ingredient]
2373;N0000146590;CHLORMEZANONE
2373;N0000006870;Chlormezanone [Chemical/Ingredient]
2374;N0000147356;CHLOROACETIC ACID
2374;N0000148159;MONOCHLOROACETIC ACID
2374;N0000006400;chloroacetic acid [Chemical/Ingredient]
2378;N0000145875;CHLOROBUTANOL
2378;N0000006881;Chlorobutanol [Chemical/Ingredient]
2382;N0000148669;PROGUANIL
2382;N0000006889;Proguanil [Chemical/Ingredient]
2388;N0000147223;CHLOROPHYLL
2388;N0000006912;Chlorophyll [Chemical/Ingredient]
2393;N0000147767;CHLOROQUINE
2393;N0000007737;Chloroquine [Chemical/Ingredient]
2396;N0000146099;CHLOROTHIAZIDE
2396;N0000006932;Chlorothiazide [Chemical/Ingredient]
2397;N0000146935;CHLOROTRIANISENE
2397;N0000006935;Chlorotrianisene [Chemical/Ingredient]
2399;N0000147768;CHLORPHENESIN
2399;N0000007743;Chlorphenesin [Chemical/Ingredient]
2400;N0000146218;CHLORPHENIRAMINE
2400;N0000006942;Chlorpheniramine [Chemical/Ingredient]
2403;N0000146214;CHLORPROMAZINE
2403;N0000006947;Chlorpromazine [Chemical/Ingredient]
2404;N0000146198;CHLORPROPAMIDE
2404;N0000006948;Chlorpropamide [Chemical/Ingredient]
2406;N0000146149;CHLORPROTHIXENE
2406;N0000006953;Chlorprothixene [Chemical/Ingredient]
2407;N0000166918;Chlorquinaldol [Chemical/Ingredient]
2408;N0000147769;CHLORTETRACYCLINE
2408;N0000006964;Chlortetracycline [Chemical/Ingredient]
2409;N0000146240;CHLORTHALIDONE
2409;N0000006970;Chlorthalidone [Chemical/Ingredient]
2410;N0000146235;CHLORZOXAZONE
2410;N0000006971;Chlorzoxazone [Chemical/Ingredient]
2418;N0000146043;CHOLECALCIFEROL
2418;N0000006996;Cholecalciferol [Chemical/Ingredient]
2420;N0000007750;Cholecystokinin [Chemical/Ingredient]
