Eltrombopag|Hematology|Antithrombin III deficiency (SERPINC1)|Warnings and Precautions
Erlotinib|Oncology|EGFR|Clinical Pharmacology
Esomeprazole|Gastroenterology|CYP2C19|"Drug Interactions, Clinical Pharmacology"
Everolimus|Oncology|ERBB2 (HER2)|"Indications and Usage, Boxed Warning, Adverse Reactions, Use in Specific Populations, Clinical Pharmacology, Clinical Studies"
Exemestane|Oncology|ER &/ PGR|"Indications and Usage, Dosage and Administration, Clinical Studies, Clinical Pharmacology"
Fluorouracil|Dermatology|DPD|"Contraindications, Warnings"
Fluorouracil|Oncology|DPD|"Warnings"
Fluoxetine|Psychiatry|CYP2D6|"Warnings, Precautions, Clinical Pharmacology"
Fluoxetine and Olanzapine|Psychiatry|CYP2D6|"Drug Interactions, Clinical Pharmacology"
Flurbiprofen|Rheumatology|CYP2C9|"Clinical Pharmacology, Special Populations"
Fluvoxamine|Psychiatry|CYP2D6|Drug Interactions
Fulvestrant|Oncology|ER|"Indications and Usage, Patient Counseling Information"
Galantamine|Neurology|CYP2D6|Special Populations
Gefitinib|Oncology|EGFR|Clinical Pharmacology
Iloperidone|Psychiatry|CYP2D6|"Clinical Pharmacology, Dosage and Administration, Drug Interactions, Specific Populations, Warnings and Precautions"
Imatinib|Oncology|C-Kit|"Indications and Usage, Dosage and Administration Clinical Pharmacology, Clinical Studies"
Imatinib|Oncology|Ph Chromosome|"Indications and Usage, Dosage and Administration, Clinical Pharmacology, Clinical Studies"
Imatinib|Oncology|PDGFR|"Indications and Usage, Dosage and Administration, Clincal Studies"
Imatinib|Oncology|FIP1L1-PDGFRα|"Indications and Usage, Dosage and Administration, Clinical Studies"
Imipramine|Psychiatry|CYP2D6|Drug Interactions
Indacaterol|Pulmonary|UGT1A1|Clinical Pharmacology
Irinotecan|Oncology|UGT1A1|"Dosage and Administration, Warnings, Clinical Pharmacology"
Isosorbide and Hydralazine|Cardiovascular|NAT1; NAT2|Clinical Pharmacology
Ivacaftor|Pulmonary|CFTR (G551D)|"Indications and Usage, Adverse Reactions, Use in Specific Populations, Clinical Pharmacology, Clinical Studies"
Lansoprazole|Gastroenterology|CYP2C19|"Drug Interactions, Clinical Pharmacology"
Lapatinib|Oncology|ERBB2 (HER2)|"Indications and Usage, Clinical Pharmacology, Patient Counseling Information"
Lenalidomide|Hematology|Chromosome 5q|"Boxed Warning, Indications and Usage, Clinical Studies, Patient Counseling"
Letrozole|Oncology|ER &/ PGR|"Indications and Usage, Adverse Reactions, Clinical Studies, Clinical Pharmacology"
Maraviroc|Antivirals|CCR5|"Indications and Usage, Warnings and Precautions, Clinical Pharmacology, Clinical Studies, Patient Counseling Information"
Mercaptopurine|Oncology|TPMT|"Dosage and Administration, Contraindications, Precautions, Adverse Reactions, Clinical Pharmacology"
Metoprolol|Cardiovascular|CYP2D6|"Precautions, Clinical Pharmacology"
Modafinil|Psychiatry|CYP2D6|Drug Interactions
Mycophenolic Acid|Transplantation|HGPRT|Precautions
Nefazodone|Psychiatry|CYP2D6|Drug Interactions
Nilotinib|Oncology|Ph Chromosome|"Indications and Usage, Patient Counseling Information"
Nilotinib|Oncology|UGT1A1|"Warnings and Precautions, Clinical Pharmacology"
Nortriptyline|Psychiatry|CYP2D6|Drug Interactions
Omeprazole|Gastroenterology|CYP2C19|"Dosage and Administration, Warnings and Precautions, Drug Interactions"
Panitumumab|Oncology|EGFR|"Indications and Usage, Warnings and Precautions, Clinical Pharmacology, Clinical Studies"
Panitumumab|Oncology|KRAS|"Indications and Usage, Clinical Pharmacology, Clinical Studies"
Pantoprazole|Gastroenterology|CYP2C19|"Clinical Pharmacology, Drug Interactions, Special Populations"
Paroxetine|Psychiatry|CYP2D6|"Clinical Pharmacology, Drug Interactions"
Peginterferon alfa-2b|Antivirals|IL28B|Clinical Pharmacology
Perphenazine|Psychiatry|CYP2D6|"Clinical Pharmacology, Drug Interactions"
Pertuzumab|Oncology|ERBB2 (HER2)|"Indications and Usage, Warnings and Precautions, Adverse Reactions, Clinical Studies, Clinical Pharmacology"
Phenytoin|Neurology|HLA-B*1502|Warnings
Pimozide|Psychiatry|CYP2D6|"Warnings, Precautions, Contraindications, Dosage and Administration"
Prasugrel|Cardiovascular|CYP2C19|"Use in Specific Populations, Clinical Pharmacology, Clinical Studies"
Pravastatin|Metabolic and Endocrinology|APOE2|"Clinical Studies, Use in Specific Populations"
Propafenone|Cardiovascular|CYP2D6|Clinical Pharmacology
Propranolol|Cardiovascular|CYP2D6|"Precautions, Drug Interactions, Clinical Pharmacology"
Protriptyline|Psychiatry|CYP2D6|Precautions
Quinidine|Antiarrhythmics|CYP2D6|Precautions
Rabeprazole|Gastroenterology|CYP2C19|"Drug Interactions, Clinical Pharmacology"
Rasburicase|Oncology|G6PD|"Boxed Warning, Contraindications"
"Rifampin, Isoniazid, and Pyrazinamide"|Antiinfectives|NAT1; NAT2|"Adverse Reactions, Clinical Pharmacology"
Risperidone|Psychiatry|CYP2D6|"Drug Interactions, Clinical Pharmacology"
Sodium Phenylacetate and Sodium Benzoate|Gastroenterology|UCD (NAGS; CPS; ASS; OTC; ASL; ARG)|"Indications and Usage, Description, Clinical Pharmacology"
Sodium Phenylbutyrate|Gastroenterology|UCD (NAGS; CPS; ASS; OTC; ASL; ARG)|"Indications and Usage, Dosage and Administration, Nutritional Management"
Tamoxifen|Oncology|ER|"Indications and Usage, Precautions, Medication Guide"
Tamoxifen|Oncology|Factor V Leiden (FV)|Warnings
Tamoxifen|Oncology|Prothrombin mutations (F2)|Warnings
Telaprevir|Antivirals|IL28B|Clinical Pharmacology
Terbinafine|Antifungals|CYP2D6|Drug Interactions
Tetrabenazine|Neurology|CYP2D6|"Dosage and Administration, Warnings, Clinical Pharmacology"
Thioguanine|Oncology|TPMT|"Dosage and Administration, Precautions, Warnings"
Thioridazine|Psychiatry|CYP2D6|"Precautions, Warnings, Contraindications"
Ticagrelor|Cardiovascular|CYP2C19|Clinical Studies
Tolterodine|Reproductive and Urologic|CYP2D6|"Clinical Pharmacology, Drug Interactions, Warnings and Precautions"
Tositumomab|Oncology|CD20 antigen|"Indications and Usage, Clinical Pharmacology"
Tramadol and Acetaminophen|Analgesics|CYP2D6|Clinical Pharmacology
Trastuzumab|Oncology|ERBB2 (HER2)|"Indications and Usage, Precautions, Clinical Pharmacology"
Tretinoin|Dermatology and Dental|PML/RARα|"Boxed Warning, Dosage and Administration, Precautions"
Trimipramine|Psychiatry|CYP2D6|Drug Interactions
Valproic Acid|Psychiatry|UCD (NAGS; CPS; ASS; OTC; ASL; ARG)|"Contraindications, Precautions, Adverse Reactions"
Vemurafenib|Oncology|BRAF|"Indications and Usage, Warning and Precautions, Clinical Pharmacology, Clinical Studies, Patient Counseling Information"
Venlafaxine|Psychiatry|CYP2D6|Drug Interactions
Voriconazole|Antifungals|CYP2C19|"Clinical Pharmacology, Drug Interactions"
Warfarin|Hematology|CYP2C9|"Dosage and Administration, Precautions, Clinical Pharmacology"
Warfarin|Hematology|VKORC1|"Dosage and Administration, Precautions, Clinical Pharmacology"
