unii	pt	rxcui	db_uri1	db_uri2	chebi	nui	nameAndRole
003N66TS6T	RASAGILINE	134748.0	http://www.drugbank.ca/drugs/DB01367	http://bio2rdf.org/drugbank:DB01367	http://purl.obolibrary.org/obo/CHEBI_63620	N0000000184	Monoamine Oxidase Inhibitors [MoA]
003RU5UO9K	AMMONIUM NONOXYNOL-30 SULFATE						
003VPM353K	PROPINEB						
003X59ESM6	1,3,6,9-TETRACHLORODIBENZO-P-DIOXIN						
00427X161I	SCH-28080						
004F72P8F4	BETHANECHOL	19257.0				N0000175840	Cholinergic Muscarinic Agonist [EPC]
004F72P8F4	BETHANECHOL	19257.0				N0000000104	Cholinergic Muscarinic Agonists [MoA]
004HXS4MNN	AFN-1252 TOSYLATE MONOHYDRATE						
004T8726AU	DEXINDOPROFEN						
004U31C6CW	COLISTIN B HYDROGEN METHANESULFONATE						
005173PK6V	P-HYDROXY ROSIGLITAZONE						
0051H268HK	PEG-6 CAPRAMIDE						
0052R0FG2V	PACIFIC POMFRET WHOLE						
00541O72RY	ICD-1578						
00543AP1JV	DELPHINIUM STAPHISAGRIA SEED	1309677.0					
005441MVKF	4-(BENZOYLAMINO)BENZENEACETIC ACID						
005443R93J	TRANSFERRIN ALDIFITOX R EPIMER						
0056KS5787	PROPYLBENZILYLCHOLINE MUSTARD						
0057334FAB	PPG-20 METHYL GLUCOSE ETHER DISTEARATE	1373204.0					
0057VRD75N	ZINC PICRATE NONAHYDRATE	1546361.0					
005990WHZZ	DEOXYCHOLIC ACID	3194.0	http://www.drugbank.ca/drugs/DB07690	http://bio2rdf.org/drugbank:DB07690			
005990WHZZ	DEOXYCHOLIC ACID	3194.0	http://www.drugbank.ca/drugs/DB03619	http://bio2rdf.org/drugbank:DB03619			
005ICF6L27	LYCOPODIUM CLAVATUM WHOLE	1485066.0					
005K9R2XVJ	ETHYL (2-(4-((CYCLOHEXYLCARBAMOYL)SULFAMOYL)PHENYL)ETHYL)CARBAMATE						
005MIM19QV	QUINEZAMIDE						
005MKH0F6D	PROXIFEZONE						
005SYP50G5	NEOSTIGMINE BROMIDE				http://purl.obolibrary.org/obo/CHEBI_179557		
00620A680W	2,2',3,3',4,4',5,6'-OCTABROMOBIPHENYL						
0063SJ21TG	RAUNESCINE						
0066WLJ02E	HUMAN ENDOTHELIN-3						
006A6A2YSO	TRITYL CANDESARTAN CILEXETIL						
006FKQ96T3	M-TOLUIDINE						
006H22D6PZ	AMBROSIA TENUIFOLIA WHOLE						
0072NN74TN	DIBUTYL PHOSPHATE						
0074597P6R	CAMPHENE, (+)-						
0078AU906Y	N-(2-OLEAMIDOETHYL)-LINOLEAMIDE						
0079MEB8ZY	KIGELIA AFRICANA WHOLE						
007C07V77Z	BIBENZYL				http://purl.obolibrary.org/obo/CHEBI_34047		
007H7H9S1E	POA SECUNDA WHOLE						
007KG0HTO5	TECHNETIUM TC-99M FERPENTETATE						
007QF56M4D	TIPROPIDIL						
007X4XXS71	N-PHENYL-P-PHENYLENEDIAMINE						
00865O20QZ	2,3,4,4',5,6-HEXACHLOROBIPHENYL						
008803351S	CYCLOPROPANECARBOXYLIC ACID						
0088043RDR	AGAVE TEQUILANA WHOLE						
008B4980NR	LONGNOSED CHIMERA, COOKED						
008JZJ6NVX	2-DIBENZOFURANAMINE						
008PEK497F	GENTIANA TRIFLORA ROOT						
008PUV3986	MECLIZINE MONOHYDROCHLORIDE						
008W2KH70E	CHLOROPHYLL C1						
008Y1C20O9	FORSYTHIA VIRIDISSIMA WHOLE						
0091WH7STF	THIDIAZURON						
00978E5H3R	NS-102						
0099V88160	INDIUM TRIBROMIDE						
009I1TO9N5	DISODIUM OXALOACETATE						
009L92D6OC	MECHLORETHAMINE OXIDE HYDROCHLORIDE						
009OMI967N	AZ-23						
009RI221TG	RICE OIL GLYCERETH-8 ESTERS						
00A64ZX8NB	FLORASULAM						
00A9JB14O6	.BETA.-D-GLUCOURONIC ACID		http://www.drugbank.ca/drugs/DB03156	http://bio2rdf.org/drugbank:DB03156			
00ALI1GAY2	Y-33075						
00AZ53Z27P	ST-39008						
00BH33GNGH	CADMIUM	1362694.0			http://purl.obolibrary.org/obo/CHEBI_22977		
00BT03FSO2	PEG-8 CAPRYLIC/CAPRIC GLYCERIDES	1543773.0					
00C2W8NVII	PPG-30 CETYL ETHER						
00C380UHNL	ETHYL HEXYL KETONE						
00CL952Z5H	CALIFORNIA FLYINGFISH						
00CR8124AS	ENGLISH SOLE	974140.0				N0000185371	Non-Standardized Food Allergenic Extract [EPC]
00CR8124AS	ENGLISH SOLE	974140.0				N0000175629	Increased Histamine Release [PE]
00CR8124AS	ENGLISH SOLE	974140.0				N0000184306	Cell-mediated Immunity [PE]
00CR8124AS	ENGLISH SOLE	974140.0				N0000171131	Allergens [Chemical/Ingredient]
00CR8124AS	ENGLISH SOLE	974140.0				N0000007512	Dietary Proteins [Chemical/Ingredient]
00CR8124AS	ENGLISH SOLE	974140.0				N0000185014	Fish Proteins, Dietary [Chemical/Ingredient]
00DPD30SOY	AMSACRINE		http://www.drugbank.ca/drugs/DB00276	http://bio2rdf.org/drugbank:DB00276			
00EED65INL	ANCAROLOL						
00FN6IH15D	NORTRIPTYLINE HYDROCHLORIDE	203130.0					
00GG7UT6PL	CHICKEN SKIN, COOKED						
00H4Z3YXWE	PROPAZONE SODIUM						
00HPQ7674K	MERCURY OLEATE						
00I7BI3BB7	DARSIDOMINE						
00IBG87IQW	SERMORELIN ACETATE	58932.0					
00IF91KFKQ	CROCUS SATIVUS FLOWER						
00J14P0P46	DESFLUORO RISPERIDONE						
00J7LK389F	LIGULARIA FISCHERI LEAF						
00J8H295NB	QUATERNIUM-91	1368158.0					
00J9J9XKDE	VANADIUM	11121.0			http://purl.obolibrary.org/obo/CHEBI_27698		
00JKR0NZ8O	MALTOSE SYRUP	1310512.0					
00JM91Q28F	DIFEMERINE HYDROCHLORIDE						
00K1K06ADY	BMS-511926						
00K6NHA51A	1-HYDROXY-3-METHOXY-6-METHYLANTHRAQUINONE						
00K9NWZ23G	FLUOCINOLONE ACETONIDE 21-ALDEHYDE						
00KKN72U82	8-HYDROXYQUINOLINE ALUMINIUM SULFATE						
00KUO98F97	2,4,5-TRIMETHYLANILINE						
00L331RFEC	BATANOPRIDE HYDROCHLORIDE						
00LOF6890B	WX-UK1 FREE BASE						
00LX015OW8	METCARAPHEN						
00M4IP1ZA7	BAR JACK WHOLE						
00M5444DIY	J-113397						
00M634HD2V	CNDAC						
00MFZ4H95Z	N-DIALKYL METHYL BENZYL AMMONIUM CHLORIDE (C12-C18)						
00MJR235LR	CHLAMYS CIRCULARIS AEQUISCULATA						
00N857K16Y	AZUMOLENE SODIUM ANHYDROUS						
00NG926C95	8-(N-INDOLYL)-2,6-DIMETHYL-7-OCTEN-2-OL						
00O0K362FY	DIISOPROPYLTIN DICHLORIDE						
00O651747I	PSILOCYBE SEMILANCEATA FRUITING BODY						
00OA1GPF8R	1,3-PENTADIENE, (3E)-						
00OI587YQE	DAPHNE ODORA WHOLE						
00OLE78529	BELNACASAN						
00OT1QX5U4	POTASSIUM PERMANGANATE						
00OXK1BCRK	BLACKEDGE CUSK-EEL, COOKED						
00OY54D31C	EPRINOMECTIN B1A						
00PAR1C66F	SERINE, DL-						
00Q31ER368	MEPINDOLOL						
00QJ5EQT3E	3-HYDROXYMETHYL-.BETA.-CARBOLINE						
00QR9XS58S	2-BROMO-1,1-DIFLUOROETHANE						
00QT8FX306	3-ACETYLPYRIDINE						
00QW0ZGB7J	CHILEAN CROAKER, COOKED						
00RLM29Y3A	N-NITROSOMETHYLETHYLAMINE						
00RY4LUP2Z	OLETIMOL						
00RZ3F0O1X	PHENYLMETHYLPENTANAL						
00S0D0OEKR	ITASETRON						
00S42N58OM	METHAPYRILENE HYDROCHLORIDE		http://www.drugbank.ca/drugs/DB04819	http://bio2rdf.org/drugbank:DB04819			
00SD1U3FL3	1-CHLORODIBENZOFURAN						
00SRW0M6PW	ISOXAZOLE						
00T4085CBX	CALCIUM 3-METHYL-2-OXOBUTYRATE						
00T5SH6SEJ	BLETILLA STRIATA BULB	1307544.0					
00T9G32ZVH	CLOSIRAMINE						
00TN4GS00S	ALFADOLONE ACETATE						
00U0645U03	TETRAHYDRODIFERULOYLMETHANE	1362136.0					
00U5G7051S	AMINOETHYLOLEYLAMIDE						
00U7GX0NLM	MINAPRINE		http://www.drugbank.ca/drugs/DB00805	http://bio2rdf.org/drugbank:DB00805	http://purl.obolibrary.org/obo/CHEBI_51038		
00UK7646FG	CAPSICUM	1006340.0				N0000185375	Non-Standardized Plant Allergenic Extract [EPC]
00UK7646FG	CAPSICUM	1006340.0				N0000185371	Non-Standardized Food Allergenic Extract [EPC]
00UK7646FG	CAPSICUM	1006340.0				N0000175629	Increased Histamine Release [PE]
00UK7646FG	CAPSICUM	1006340.0				N0000184306	Cell-mediated Immunity [PE]
00UK7646FG	CAPSICUM	1006340.0				N0000171131	Allergens [Chemical/Ingredient]
00UK7646FG	CAPSICUM	1006340.0				N0000007512	Dietary Proteins [Chemical/Ingredient]
00UK7646FG	CAPSICUM	1006340.0				N0000008246	Plant Proteins [Chemical/Ingredient]
00UK7646FG	CAPSICUM	1006340.0				N0000007617	Vegetable Proteins [Chemical/Ingredient]
00UK7646FG	CAPSICUM	319780.0				N0000185375	Non-Standardized Plant Allergenic Extract [EPC]
00UK7646FG	CAPSICUM	319780.0				N0000185371	Non-Standardized Food Allergenic Extract [EPC]
00UK7646FG	CAPSICUM	319780.0				N0000175629	Increased Histamine Release [PE]
00UK7646FG	CAPSICUM	319780.0				N0000184306	Cell-mediated Immunity [PE]
00UK7646FG	CAPSICUM	319780.0				N0000171131	Allergens [Chemical/Ingredient]
00UK7646FG	CAPSICUM	319780.0				N0000007512	Dietary Proteins [Chemical/Ingredient]
00UK7646FG	CAPSICUM	319780.0				N0000008246	Plant Proteins [Chemical/Ingredient]
00UK7646FG	CAPSICUM	319780.0				N0000007617	Vegetable Proteins [Chemical/Ingredient]
00V0B42E5V	METHYL 3,11-DIOXOPREGNA-4,17(20)-DIEN-21-OATE (Z)-						
00V69U1QC7	METIOXATE						
00V8CJ76Y9	SENEGENIN DIACETATE						
00VJI3VG3D	1,3,5-TRIMETHOXYBENZENE						
00VYB05KWP	BACITRACIN A METHYLENEDISALICYLATE						
00W16Z57R5	CARIBBEAN RED SNAPPER						
00W4083OML	CYCLOFENIL DIPHENOL						
00WNZ48OR9	CHLOROPHYLL	2388.0			http://purl.obolibrary.org/obo/CHEBI_18230		
00WVH6L818	GULF SIERRA						
00X4JM89UH	4,4'-DIAMINOBENZANILIDE						
00XI8W60QF	HUMAN CHOLECYSTOKININ-33						
00XIW1CR0F	ARACHIDONYLTRIFLUOROMETHANE				http://purl.obolibrary.org/obo/CHEBI_2341		
00Y81HN91L	3-OCTENE, (3Z)-						
00YIU5438U	CAPRYLYL GLYCOL	1363571.0					
00YK2U88F9	DI-P-METHYLBENZYLIDENESORBITOL						
00YK6AM7PG	BUTYL NITRATE						
00YVU1F28D	PICOTRIN						
00ZQ65GED7	1,23-TETRACOSANEDIOL						
00ZZF05RJS	SOUTHERN HAKE WHOLE						
01001BHH8J	CARIBBEAN REEF SQUID WHOLE						
0102XFH2B9	TECHNETIUM TC-99M BESILESOMAB						
010H9J7N59	LUTEOXANTHIN, (8'R)-						
010IDO6ICK	3-CHLOROPROPYL OCTYL SULFOXIDE						
010O4LC9TS	THIAZOLYL BLUE CATION						
010T5BOR7W	DISCIOTIS VENOSA WHOLE						
0111871I23	HUPERZINE A		http://www.drugbank.ca/drugs/DB01928	http://bio2rdf.org/drugbank:DB01928			
0111871I23	HUPERZINE A		http://www.drugbank.ca/drugs/DB04864	http://bio2rdf.org/drugbank:DB04864			
0115W5MABF	CUCURBITACIN B						
011841169V	DEANOL OROTATE						
011EVD3QYF	S-METHYL 4-METHYLPENTANETHIOATE						
0122W3SP9U	.BETA.-D-XYLOPYRANOSE						
0125DUV5XC	VARLILUMAB						
0128ETF5XZ	DICHLOROTETRAKISPROCHLORAZ MANGANESE						
0129526470	5,8-DIMETHOXY(1,2,4)TRIAZOLO(1,5-C)PYRIMIDIN-2-AMINE						
012C11ZU6G	TERBINAFINE HYDROCHLORIDE	235838.0					
012LYD6KXM	AMBASILIDE						
012RCE5TWE	SALIX LUTEA POLLEN					N0000185367	Non-Standardized Pollen Allergenic Extract [EPC]
012RCE5TWE	SALIX LUTEA POLLEN					N0000175629	Increased Histamine Release [PE]
012RCE5TWE	SALIX LUTEA POLLEN					N0000184306	Cell-mediated Immunity [PE]
012RCE5TWE	SALIX LUTEA POLLEN					N0000185001	Increased IgG Production [PE]
012RCE5TWE	SALIX LUTEA POLLEN					N0000185000	Pollen [Chemical/Ingredient]
012RCE5TWE	SALIX LUTEA POLLEN					N0000171131	Allergens [Chemical/Ingredient]
01343Q8EL8	ANISODAMINE						
013TE6E4WV	LEDIPASVIR	1591922.0				N0000191256	Hepatitis C Virus NS5A Inhibitor [EPC]
013TE6E4WV	LEDIPASVIR	1591922.0				N0000185503	P-Glycoprotein Inhibitors [MoA]
013TE6E4WV	LEDIPASVIR	1591922.0				N0000190113	Breast Cancer Resistance Protein Inhibitors [MoA]
013U3OVD2Z	ROUREA SOLANDERI STEM						
013XP90076	STELLARIA DICHOTOMA WHOLE						
0149H05U82	2-AMINO-5-NITROPHENOL						
014Y506OEG	1,3-DIAMINOGUANIDINE HYDROCHLORIDE						
015259RASF	2,2',4,4',5,6'-HEXACHLORODIPHENYL ETHER						
015443A483	PROPACHLOR				http://purl.obolibrary.org/obo/CHEBI_19503		
01558R042G	1-NAPHTHYLMETHYL BENZOATE						
0155O8L0UM	MAORI COD, COOKED						
015G4I43YD	ICI-63197						
015KZC652E	POTASSIUM SULFITE						
015T3UTL9J	MAHONIA BEALEI ROOT						
015UCP79S9	DIRECT BLUE 25						
0161873UBV	HORDEUM MURINUM POLLEN					N0000185367	Non-Standardized Pollen Allergenic Extract [EPC]
0161873UBV	HORDEUM MURINUM POLLEN					N0000175629	Increased Histamine Release [PE]
0161873UBV	HORDEUM MURINUM POLLEN					N0000184306	Cell-mediated Immunity [PE]
0161873UBV	HORDEUM MURINUM POLLEN					N0000185001	Increased IgG Production [PE]
0161873UBV	HORDEUM MURINUM POLLEN					N0000185000	Pollen [Chemical/Ingredient]
0161873UBV	HORDEUM MURINUM POLLEN					N0000171131	Allergens [Chemical/Ingredient]
0163PVD2QZ	HYDROXYSTILBAMIDINE ISETHIONATE		http://www.drugbank.ca/drugs/DB01040	http://bio2rdf.org/drugbank:DB01040			
0164A0A522	CHIMONANTHUS PRAECOX LEAF						
0165Y102W9	STELLIFER DRUM WHOLE						
0167D73R1T	ALLYL PROPYL DISULFIDE						
0168CT300N	MULLOIDICHTHYS GOATFISH WHOLE						
01695YPV36	SWORDFISH	901283.0				N0000185371	Non-Standardized Food Allergenic Extract [EPC]
01695YPV36	SWORDFISH	901283.0				N0000175629	Increased Histamine Release [PE]
01695YPV36	SWORDFISH	901283.0				N0000184306	Cell-mediated Immunity [PE]
01695YPV36	SWORDFISH	901283.0				N0000171131	Allergens [Chemical/Ingredient]
01695YPV36	SWORDFISH	901283.0				N0000007512	Dietary Proteins [Chemical/Ingredient]
01695YPV36	SWORDFISH	901283.0				N0000185014	Fish Proteins, Dietary [Chemical/Ingredient]
016B407G6F	IOFRATOL						
016C88OF79	SYR DARYA STURGEON						
016FR52RU5	DIHYDROURACIL		http://www.drugbank.ca/drugs/DB01849	http://bio2rdf.org/drugbank:DB01849	http://purl.obolibrary.org/obo/CHEBI_15901		
016TTR32QF	RIPASUDIL HYDROCHLORIDE DIHYDRATE						
016U10PN9N	OPROMAZINE						
01704YP3MO	AMINOPHENAZONE		http://www.drugbank.ca/drugs/DB01424	http://bio2rdf.org/drugbank:DB01424	http://purl.obolibrary.org/obo/CHEBI_160246		
01756N87N8	WORMWOOD OIL	1305653.0					
01763E5R90	GLYCERETH-20 CAPRYLATE						
017864RK78	TANGHINIGENIN						
017EA128X4	N-BENZYL-2'-DEOXYADENOSINE						
017NGL487F	2-BUTENE, (E)-						
017VSH97RJ	6.BETA.-HYDROXYDEXAMETHASONE						
01800C6E6B	DIEFFENBACHIA SEGUINE	1353887.0					
0180PBK4FC	NIFURALDEZONE						
018649S21N	LEMALESOMAB						
018DWB1LWB	ISOMEROL						
018XNU6812	ALRESTATIN SODIUM						
01906GQ23R	PINACOL HEXAHYDRATE						
0192074X0K	SUPEROXIDE DISMUTASE (MN) SACCHAROMYCES CEREVISIAE						
0192O2R1GA	ETHYL-O,N,N-AZOXYMETHANE, (1Z)-						
0195831F8E	BENZYL VALERATE						
0196353FZ5	3-(4,5-DIHYDRO-1H-IMIDAZOL-2-YL)ANILINE						
0199MV609F	GADOTERIDOL	25483.0			http://purl.obolibrary.org/obo/CHEBI_31643	N0000175862	Magnetic Resonance Contrast Activity [MoA]
0199MV609F	GADOTERIDOL	25483.0			http://purl.obolibrary.org/obo/CHEBI_31643	N0000180184	Paramagnetic Contrast Agent [EPC]
019ILT555L	SWOLLEN-HEADED CONGER EEL, COOKED						
019NSK845Q	TRIFLUSULFURON						
01B3PR4VA4	2,3',4,5',6-PENTABROMOBIPHENYL						
01B3X858LI	ACER PENSYLVANICUM WHOLE						
01D3M89A2W	3,4,5,6-TETRAHYDROPHTHALIC ANHYDRIDE						
01D72QQ73D	TRANID						
01DMT14Z63	POTASSIUM METAPHOSPHATE	1426446.0					
01DN47PPQG	DESMETHYLCLOMIPRAMINE						
01DZ4127G7	BELOTECAN HYDROCHLORIDE						
01F4FRP8YL	MIROGABALIN BESYLATE						
01FPW436S6	A-620223		http://www.drugbank.ca/drugs/DB07330	http://bio2rdf.org/drugbank:DB07330			
01G73H6H83	HOPS	259266.0				N0000185371	Non-Standardized Food Allergenic Extract [EPC]
01G73H6H83	HOPS	259266.0				N0000185375	Non-Standardized Plant Allergenic Extract [EPC]
01G73H6H83	HOPS	259266.0				N0000175629	Increased Histamine Release [PE]
01G73H6H83	HOPS	259266.0				N0000184306	Cell-mediated Immunity [PE]
01G73H6H83	HOPS	259266.0				N0000171131	Allergens [Chemical/Ingredient]
01G73H6H83	HOPS	259266.0				N0000007512	Dietary Proteins [Chemical/Ingredient]
01G73H6H83	HOPS	259266.0				N0000008246	Plant Proteins [Chemical/Ingredient]
01G73H6H83	HOPS	259266.0				N0000185013	Food Additives [Chemical/Ingredient]
01G9XEA93N	CLAVICEPS PURPUREA SCLEROTIUM	1311077.0					
01HD1KNX99	1,2-DIHYDRO-1,1,6-TRIMETHYLNAPHTHALENE						
01HGS7J21J	2,7-NAPHTHALENEDISULFONIC ACID				http://purl.obolibrary.org/obo/CHEBI_30898		
01HO73LPA0	MK-0752 SODIUM						
01HT00FI3B	METHYL PHTHALYL ETHYL GLYCOLATE						
01I0OE93A7	2-OXOVALERIC ACID				http://purl.obolibrary.org/obo/CHEBI_33033		
01I8N86CKO	METHYL 2-METHYLPHENYL DISULFIDE						
01I9ZBY9IR	ETHYL PYRAZOLONE T						
01IX3OU168	TOBRAMYCIN HYDROCHLORIDE						
01IZ7O54VH	SODIUM THIOMALATE						
01J18G9G97	ACEGLUTAMIDE	1426379.0	http://www.drugbank.ca/drugs/DB04167	http://bio2rdf.org/drugbank:DB04167			
01K37QO47K	RITANSERIN TARTRATE						
01K63SUP8D	FLUOXETINE	4493.0			http://purl.obolibrary.org/obo/CHEBI_5118	N0000175696	Serotonin Reuptake Inhibitor [EPC]
01K63SUP8D	FLUOXETINE	4493.0			http://purl.obolibrary.org/obo/CHEBI_5118	N0000000109	Serotonin Uptake Inhibitors [MoA]
01KC87F8FE	6-O-BENZYLGUANINE						
01KM283D85	FRUCTOSE PHENYLOSAZONE, DL-						
01KT5NC1TC	TEPHROSIA PURPUREA SEED						
01L0138EJV	SPOTTED WHITING WHOLE						
01L3E93T4C	CLOMETHERONE						
01L9Y9D98W	CALCIUM ADIPATE						
01LSZ8XXL0	TETRAHYDROISOHUMULONE						
01M52Y2486	SPECKLED DWARF GROUPER						
01M5W012RI	2-HEPTADECANONE						
01MDR0WU2J	BEBEERINE						
01MI4Q9DI3	PILOCARPINE	8328.0	http://www.drugbank.ca/drugs/DB01085	http://bio2rdf.org/drugbank:DB01085	http://purl.obolibrary.org/obo/CHEBI_8207	N0000175369	Cholinergic Agonists [MoA]
01MI4Q9DI3	PILOCARPINE	8328.0	http://www.drugbank.ca/drugs/DB01085	http://bio2rdf.org/drugbank:DB01085	http://purl.obolibrary.org/obo/CHEBI_8207	N0000000104	Cholinergic Muscarinic Agonists [MoA]
01MI4Q9DI3	PILOCARPINE	8328.0	http://www.drugbank.ca/drugs/DB01085	http://bio2rdf.org/drugbank:DB01085	http://purl.obolibrary.org/obo/CHEBI_8207	N0000175884	Cholinergic Receptor Agonist [EPC]
01MNH5U8OM	INULA BRITANNICA WHOLE						
01MP33F412	INFLUENZA B VIRUS B/MASSACHUSETTS/2/2012 LIVE (ATTENUATED) ANTIGEN	1431479.0					
01MU2J7VVZ	2-ETHYLHEXANOIC ACID	1305517.0					
01MWS86W2N	SODIUM 3,4-DIMETHOXYPHENYLGLYOXYLATE						
01N0V0N4S2	3,3',4,5,5'-PENTACHLOROBIPHENYL						
01N5412224	ETIFELMINE HYDROCHLORIDE						
01N552709G	KANAMYCIN A SULFATE MONOHYDRATE						
01N6H4JN1M	DRYOPTERIS CRISTATA ROOT						
01N796R81A	GEPHYROTOXIN						
01O086PVD0	CEDRUS DEODARA WOOD OIL	1307686.0					
01O4K0631N	VELIPARIB		http://www.drugbank.ca/drugs/DB07232	http://bio2rdf.org/drugbank:DB07232	http://purl.obolibrary.org/obo/CHEBI_62880		
01PKC2D0QR	MYRCIARIA EDULIS WHOLE						
01Q0586BG1	SORBITOL, L-						
01Q77MP18P	2-HEXENAL GLYCERYL ACETAL, (E)-						
01Q9PC255D	AMMONIUM CHLORIDE	712.0					
01QI22H8Y0	WHITE CHINESE CROAKER WHOLE						
01QO8Q88XQ	BE-56980						
01S2G2C1E4	SORBITAN ISOSTEARATE	1310513.0					
01S784FLCO	VINYLDIMETHYL/TRIMETHYLSILOXYSILICATE STEARYL DIMETHICONE CROSSPOLYMER						
01SEY4236K	PPG-34						
01SJA33642	ZIRCONIUM SULFATE						
01T23W89FR	THIAMYLAL						
01TN699E2L	2-DESETHOXY-2-OXO-2H-2-ETHYL CANDESARTAN CILEXETIL						
01TO0B37BE	CINCHONIDINE HYDROCHLORIDE DIHYDRATE						
01U1CR2E6L	N-ACETYLGLYCYLGLYCINE						
01U3I21HMM	PEG-50 GLYCERYL ISOSTEARATE						
01U5B6N9O1	2,2',3,4,5'-PENTABROMOBIPHENYL						
01U96G7D9J	KINOPRENE, (S)-						
01UCU472ZD	METOLACHLOR, R-						
01UIN5OC49	LACTOPEROXIDASE BOVINE	1310514.0					
01UQ1KPC7E	BERYLLIUM SULFATE						
01VNU8ZSO0	3-HYDROXY-1-METHYLGUANINE						
01W430XXSQ	TETRAMETHYLTHIURAM MONOSULFIDE	1363713.0				N0000185508	Standardized Chemical Allergen [EPC]
01W430XXSQ	TETRAMETHYLTHIURAM MONOSULFIDE	1363713.0				N0000175629	Increased Histamine Release [PE]
01W430XXSQ	TETRAMETHYLTHIURAM MONOSULFIDE	1363713.0				N0000184306	Cell-mediated Immunity [PE]
01W430XXSQ	TETRAMETHYLTHIURAM MONOSULFIDE	1363713.0				N0000171131	Allergens [Chemical/Ingredient]
01W5X7N5XV	CHLORANIL				http://purl.obolibrary.org/obo/CHEBI_36703		
01W9V5H5WO	DEXTRAN SULFATE SODIUM (MW 520000)						
01WC7Q7Y7I	LONG-SPINED RED BREAM						
01WCB47656	2-(3,5-DIIODO-4-HYDROXYBENZYL)CYCLOHEXANECARBOXYLIC ACID						
01X0P6GX6C	SWERTIA JAPONICA WHOLE FLOWERING	1370776.0					
01XG18042T	BREEA SEGETA WHOLE						
01XK3D1SXO	ANILINE HYDROBROMIDE		http://www.drugbank.ca/drugs/DB06728	http://bio2rdf.org/drugbank:DB06728			
01XP1SU59O	LINURON						
01XWD8G9Y2	N-(2-(4-HYDROXYPHENYL)GLYCYL)CEFADROXIL						
01Y4A2QXY0	PYROGALLOL						
01Y5Y43F8W	DICHLORPROP-P-2-ETHYLHEXYL						
01YAE03M7J	.BETA.-CAROTENE	19143.0					
01Z3256K33	DN-9693 FREE BASE						
01Z7632G97	3,5-OCTADIEN-1-OL, (3Z,5E)-						
01ZB73D2KK	3,3-DIMETHYL-1-BUTENE						
01ZG3TPX31	BUPROPION	42347.0				N0000180855	Aminoketone [EPC]
01ZG3TPX31	BUPROPION	42347.0				N0000000114	Dopamine Uptake Inhibitors [MoA]
01ZG3TPX31	BUPROPION	42347.0				N0000009282	Increased Dopamine Activity [PE]
01ZG3TPX31	BUPROPION	42347.0				N0000009456	Increased Norepinephrine Activity [PE]
01ZG3TPX31	BUPROPION	42347.0				N0000000102	Norepinephrine Uptake Inhibitors [MoA]
01ZI68F3CQ	GLUTARONITRILE						
01ZL0320WM	SODIUM GULONATE, D-						
020063I9Y0	N,N-DIMETHYL-1-NAPHTHYLAMINE						
020181X1NX	DOUBLELINED TOUNGESOLE						
0204JQL303	5-FORMYLAMINO-1H-PYRAZOLE-4-CARBOXAMIDE						
020D5NP7QT	APC-3316 HYDROCHLORIDE						
020IJC48OF	PRONETHALOL HYDROCHLORIDE						
020IUV4N33	PHOSPHOCREATINE				http://purl.obolibrary.org/obo/CHEBI_17287		
020K6HLU0O	CAVIAR, UNSPECIFIED	1425214.0					
020KE7P98D	WHITE RIVER CRAYFISH						
