FDASubstancePrefName	DRUGBANK_CA	DRUGBANK_BIO2RDF
ASPARAGINASE	http://www.drugbank.ca/drugs/DB00023	http://bio2rdf.org/drugbank:DB00023
ASPARTIC ACID	http://www.drugbank.ca/drugs/DB00128	http://bio2rdf.org/drugbank:DB00128
ASPIRIN	http://www.drugbank.ca/drugs/DB00945	http://bio2rdf.org/drugbank:DB00945
ATAZANAVIR	http://www.drugbank.ca/drugs/DB01072	http://bio2rdf.org/drugbank:DB01072
ATENOLOL	http://www.drugbank.ca/drugs/DB00335	http://bio2rdf.org/drugbank:DB00335
ATOMOXETINE	http://www.drugbank.ca/drugs/DB00289	http://bio2rdf.org/drugbank:DB00289
ATORVASTATIN	http://www.drugbank.ca/drugs/DB01076	http://bio2rdf.org/drugbank:DB01076
ATOVAQUONE	http://www.drugbank.ca/drugs/DB01117	http://bio2rdf.org/drugbank:DB01117
ATRACURIUM	http://www.drugbank.ca/drugs/DB00732	http://bio2rdf.org/drugbank:DB00732
ATROPINE	http://www.drugbank.ca/drugs/DB00572	http://bio2rdf.org/drugbank:DB00572
AURANOFIN	http://www.drugbank.ca/drugs/DB00995	http://bio2rdf.org/drugbank:DB00995
AZACITIDINE	http://www.drugbank.ca/drugs/DB00928	http://bio2rdf.org/drugbank:DB00928
AZATHIOPRINE	http://www.drugbank.ca/drugs/DB00993	http://bio2rdf.org/drugbank:DB00993
AZELAIC ACID	http://www.drugbank.ca/drugs/DB00548	http://bio2rdf.org/drugbank:DB00548
AZELASTINE	http://www.drugbank.ca/drugs/DB00972	http://bio2rdf.org/drugbank:DB00972
AZITHROMYCIN ANHYDROUS	http://www.drugbank.ca/drugs/DB00207	http://bio2rdf.org/drugbank:DB00207
AZTREONAM	http://www.drugbank.ca/drugs/DB00355	http://bio2rdf.org/drugbank:DB00355
BACITRACIN	http://www.drugbank.ca/drugs/DB00626	http://bio2rdf.org/drugbank:DB00626
BACLOFEN	http://www.drugbank.ca/drugs/DB00181	http://bio2rdf.org/drugbank:DB00181
BALSALAZIDE	http://www.drugbank.ca/drugs/DB01014	http://bio2rdf.org/drugbank:DB01014
BASILIXIMAB	http://www.drugbank.ca/drugs/DB00074	http://bio2rdf.org/drugbank:DB00074
BECAPLERMIN	http://www.drugbank.ca/drugs/DB00102	http://bio2rdf.org/drugbank:DB00102
BECLOMETHASONE DIPROPIONATE	http://www.drugbank.ca/drugs/DB00394	http://bio2rdf.org/drugbank:DB00394
BENAZEPRIL	http://www.drugbank.ca/drugs/DB00542	http://bio2rdf.org/drugbank:DB00542
BENDROFLUMETHIAZIDE	http://www.drugbank.ca/drugs/DB00436	http://bio2rdf.org/drugbank:DB00436
BENOXINATE	http://www.drugbank.ca/drugs/DB00892	http://bio2rdf.org/drugbank:DB00892
BENZOCAINE	http://www.drugbank.ca/drugs/DB01086	http://bio2rdf.org/drugbank:DB01086
BENZOIC ACID	http://www.drugbank.ca/drugs/DB03793	http://bio2rdf.org/drugbank:DB03793
BENZONATATE	http://www.drugbank.ca/drugs/DB00868	http://bio2rdf.org/drugbank:DB00868
BENZOPHENONE	http://www.drugbank.ca/drugs/DB01878	http://bio2rdf.org/drugbank:DB01878
BENZPHETAMINE	http://www.drugbank.ca/drugs/DB00865	http://bio2rdf.org/drugbank:DB00865
BENZTROPINE	http://www.drugbank.ca/drugs/DB00245	http://bio2rdf.org/drugbank:DB00245
BEPOTASTINE	http://www.drugbank.ca/drugs/DB04890	http://bio2rdf.org/drugbank:DB04890
BETAINE	http://www.drugbank.ca/drugs/DB04455	http://bio2rdf.org/drugbank:DB04455
BETAMETHASONE	http://www.drugbank.ca/drugs/DB00443	http://bio2rdf.org/drugbank:DB00443
BETAXOLOL	http://www.drugbank.ca/drugs/DB00195	http://bio2rdf.org/drugbank:DB00195
BETHANECHOL	http://www.drugbank.ca/drugs/DB01019	http://bio2rdf.org/drugbank:DB01019
BEVACIZUMAB	http://www.drugbank.ca/drugs/DB00112	http://bio2rdf.org/drugbank:DB00112
BEXAROTENE	http://www.drugbank.ca/drugs/DB00307	http://bio2rdf.org/drugbank:DB00307
BICALUTAMIDE	http://www.drugbank.ca/drugs/DB01128	http://bio2rdf.org/drugbank:DB01128
BIMATOPROST	http://www.drugbank.ca/drugs/DB00905	http://bio2rdf.org/drugbank:DB00905
BIOTIN	http://www.drugbank.ca/drugs/DB00121	http://bio2rdf.org/drugbank:DB00121
BIPERIDEN	http://www.drugbank.ca/drugs/DB00810	http://bio2rdf.org/drugbank:DB00810
BISACODYL	http://www.drugbank.ca/drugs/DB04824	http://bio2rdf.org/drugbank:DB04824
BISMUTH	http://www.drugbank.ca/drugs/DB01294	http://bio2rdf.org/drugbank:DB01294
BISMUTH SUBSALICYLATE	http://www.drugbank.ca/drugs/DB01294	http://bio2rdf.org/drugbank:DB01294
BISOPROLOL	http://www.drugbank.ca/drugs/DB00612	http://bio2rdf.org/drugbank:DB00612
BIVALIRUDIN	http://www.drugbank.ca/drugs/DB00006	http://bio2rdf.org/drugbank:DB00006
BLEOMYCIN	http://www.drugbank.ca/drugs/DB00290	http://bio2rdf.org/drugbank:DB00290
BLEOMYCIN	http://www.drugbank.ca/drugs/DB02721	http://bio2rdf.org/drugbank:DB02721
BORTEZOMIB	http://www.drugbank.ca/drugs/DB07475	http://bio2rdf.org/drugbank:DB07475
BORTEZOMIB	http://www.drugbank.ca/drugs/DB00188	http://bio2rdf.org/drugbank:DB00188
BOTULINUM TOXIN TYPE A	http://www.drugbank.ca/drugs/DB00083	http://bio2rdf.org/drugbank:DB00083
BRIMONIDINE	http://www.drugbank.ca/drugs/DB00484	http://bio2rdf.org/drugbank:DB00484
BRINZOLAMIDE	http://www.drugbank.ca/drugs/DB01194	http://bio2rdf.org/drugbank:DB01194
BROMFENAC	http://www.drugbank.ca/drugs/DB00963	http://bio2rdf.org/drugbank:DB00963
BROMOCRIPTINE	http://www.drugbank.ca/drugs/DB01200	http://bio2rdf.org/drugbank:DB01200
BROMPHENIRAMINE	http://www.drugbank.ca/drugs/DB00835	http://bio2rdf.org/drugbank:DB00835
BUDESONIDE	http://www.drugbank.ca/drugs/DB01222	http://bio2rdf.org/drugbank:DB01222
BUMETANIDE	http://www.drugbank.ca/drugs/DB00887	http://bio2rdf.org/drugbank:DB00887
BUPIVACAINE	http://www.drugbank.ca/drugs/DB00297	http://bio2rdf.org/drugbank:DB00297
BUPRENORPHINE	http://www.drugbank.ca/drugs/DB00921	http://bio2rdf.org/drugbank:DB00921
BUPROPION	http://www.drugbank.ca/drugs/DB01156	http://bio2rdf.org/drugbank:DB01156
BUSPIRONE	http://www.drugbank.ca/drugs/DB00490	http://bio2rdf.org/drugbank:DB00490
BUSULFAN	http://www.drugbank.ca/drugs/DB01008	http://bio2rdf.org/drugbank:DB01008
BUTABARBITAL	http://www.drugbank.ca/drugs/DB00237	http://bio2rdf.org/drugbank:DB00237
BUTALBITAL	http://www.drugbank.ca/drugs/DB00241	http://bio2rdf.org/drugbank:DB00241
BUTENAFINE	http://www.drugbank.ca/drugs/DB01091	http://bio2rdf.org/drugbank:DB01091
BUTOCONAZOLE	http://www.drugbank.ca/drugs/DB00639	http://bio2rdf.org/drugbank:DB00639
BUTOCONAZOLE	http://www.drugbank.ca/drugs/DB02087	http://bio2rdf.org/drugbank:DB02087
BUTORPHANOL	http://www.drugbank.ca/drugs/DB00611	http://bio2rdf.org/drugbank:DB00611
CABAZITAXEL	http://www.drugbank.ca/drugs/DB06772	http://bio2rdf.org/drugbank:DB06772
CABERGOLINE	http://www.drugbank.ca/drugs/DB00248	http://bio2rdf.org/drugbank:DB00248
CAFFEINE	http://www.drugbank.ca/drugs/DB00201	http://bio2rdf.org/drugbank:DB00201
CALCIPOTRIENE	http://www.drugbank.ca/drugs/DB02300	http://bio2rdf.org/drugbank:DB02300
CALCITONIN SALMON	http://www.drugbank.ca/drugs/DB00017	http://bio2rdf.org/drugbank:DB00017
CALCITRIOL	http://www.drugbank.ca/drugs/DB00136	http://bio2rdf.org/drugbank:DB00136
CALCIUM	http://www.drugbank.ca/drugs/DB01373	http://bio2rdf.org/drugbank:DB01373
CALCIUM ACETATE	http://www.drugbank.ca/drugs/DB00258	http://bio2rdf.org/drugbank:DB00258
CALCIUM CHLORIDE	http://www.drugbank.ca/drugs/DB01164	http://bio2rdf.org/drugbank:DB01164
CANAKINUMAB	http://www.drugbank.ca/drugs/DB06168	http://bio2rdf.org/drugbank:DB06168
CANDESARTAN	http://www.drugbank.ca/drugs/DB00796	http://bio2rdf.org/drugbank:DB00796
CAPECITABINE	http://www.drugbank.ca/drugs/DB01101	http://bio2rdf.org/drugbank:DB01101
CAPREOMYCIN	http://www.drugbank.ca/drugs/DB00314	http://bio2rdf.org/drugbank:DB00314
CAPROMAB PENDETIDE	http://www.drugbank.ca/drugs/DB00089	http://bio2rdf.org/drugbank:DB00089
CAPTOPRIL	http://www.drugbank.ca/drugs/DB01197	http://bio2rdf.org/drugbank:DB01197
CARBACHOL	http://www.drugbank.ca/drugs/DB00411	http://bio2rdf.org/drugbank:DB00411
CARBAMAZEPINE	http://www.drugbank.ca/drugs/DB00564	http://bio2rdf.org/drugbank:DB00564
CARBENICILLIN	http://www.drugbank.ca/drugs/DB00578	http://bio2rdf.org/drugbank:DB00578
CARBIDOPA	http://www.drugbank.ca/drugs/DB00190	http://bio2rdf.org/drugbank:DB00190
CARBIDOPA ANHYDROUS	http://www.drugbank.ca/drugs/DB00190	http://bio2rdf.org/drugbank:DB00190
CARBINOXAMINE	http://www.drugbank.ca/drugs/DB00748	http://bio2rdf.org/drugbank:DB00748
CARBOPLATIN	http://www.drugbank.ca/drugs/DB00958	http://bio2rdf.org/drugbank:DB00958
CARBOPROST	http://www.drugbank.ca/drugs/DB00429	http://bio2rdf.org/drugbank:DB00429
CARGLUMIC ACID	http://www.drugbank.ca/drugs/DB06775	http://bio2rdf.org/drugbank:DB06775
CARISOPRODOL	http://www.drugbank.ca/drugs/DB00395	http://bio2rdf.org/drugbank:DB00395
CARMUSTINE	http://www.drugbank.ca/drugs/DB00262	http://bio2rdf.org/drugbank:DB00262
CARNITINE	http://www.drugbank.ca/drugs/DB02648	http://bio2rdf.org/drugbank:DB02648
CARNITINE	http://www.drugbank.ca/drugs/DB00583	http://bio2rdf.org/drugbank:DB00583
CARTEOLOL	http://www.drugbank.ca/drugs/DB00521	http://bio2rdf.org/drugbank:DB00521
CARVEDILOL	http://www.drugbank.ca/drugs/DB01136	http://bio2rdf.org/drugbank:DB01136
CASPOFUNGIN	http://www.drugbank.ca/drugs/DB00520	http://bio2rdf.org/drugbank:DB00520
CEFACLOR	http://www.drugbank.ca/drugs/DB00833	http://bio2rdf.org/drugbank:DB00833
CEFACLOR ANHYDROUS	http://www.drugbank.ca/drugs/DB00833	http://bio2rdf.org/drugbank:DB00833
CEFADROXIL	http://www.drugbank.ca/drugs/DB01140	http://bio2rdf.org/drugbank:DB01140
CEFADROXIL ANHYDROUS	http://www.drugbank.ca/drugs/DB01140	http://bio2rdf.org/drugbank:DB01140
CEFAZOLIN	http://www.drugbank.ca/drugs/DB01327	http://bio2rdf.org/drugbank:DB01327
CEFDINIR	http://www.drugbank.ca/drugs/DB00535	http://bio2rdf.org/drugbank:DB00535
CEFDITOREN	http://www.drugbank.ca/drugs/DB01066	http://bio2rdf.org/drugbank:DB01066
CEFEPIME	http://www.drugbank.ca/drugs/DB01413	http://bio2rdf.org/drugbank:DB01413
CEFIXIME ANHYDROUS	http://www.drugbank.ca/drugs/DB00671	http://bio2rdf.org/drugbank:DB00671
CEFOPERAZONE	http://www.drugbank.ca/drugs/DB01329	http://bio2rdf.org/drugbank:DB01329
CEFOTAXIME	http://www.drugbank.ca/drugs/DB00493	http://bio2rdf.org/drugbank:DB00493
CEFOTETAN	http://www.drugbank.ca/drugs/DB01330	http://bio2rdf.org/drugbank:DB01330
CEFOTETAN DISODIUM	http://www.drugbank.ca/drugs/DB01330	http://bio2rdf.org/drugbank:DB01330
CEFOXITIN	http://www.drugbank.ca/drugs/DB01331	http://bio2rdf.org/drugbank:DB01331
CEFPODOXIME	http://www.drugbank.ca/drugs/DB01416	http://bio2rdf.org/drugbank:DB01416
CEFPROZIL	http://www.drugbank.ca/drugs/DB01150	http://bio2rdf.org/drugbank:DB01150
CEFPROZIL ANHYDROUS	http://www.drugbank.ca/drugs/DB01150	http://bio2rdf.org/drugbank:DB01150
CEFTAZIDIME	http://www.drugbank.ca/drugs/DB00438	http://bio2rdf.org/drugbank:DB00438
CEFTAZIDIME ANHYDROUS	http://www.drugbank.ca/drugs/DB00438	http://bio2rdf.org/drugbank:DB00438
CEFTIBUTEN	http://www.drugbank.ca/drugs/DB01415	http://bio2rdf.org/drugbank:DB01415
CEFTIZOXIME	http://www.drugbank.ca/drugs/DB01332	http://bio2rdf.org/drugbank:DB01332
CEFTRIAXONE	http://www.drugbank.ca/drugs/DB01212	http://bio2rdf.org/drugbank:DB01212
CEFUROXIME	http://www.drugbank.ca/drugs/DB01112	http://bio2rdf.org/drugbank:DB01112
CELECOXIB	http://www.drugbank.ca/drugs/DB00482	http://bio2rdf.org/drugbank:DB00482
CEPHALEXIN	http://www.drugbank.ca/drugs/DB00567	http://bio2rdf.org/drugbank:DB00567
CEPHALEXIN ANHYDROUS	http://www.drugbank.ca/drugs/DB00567	http://bio2rdf.org/drugbank:DB00567
CETIRIZINE	http://www.drugbank.ca/drugs/DB00341	http://bio2rdf.org/drugbank:DB00341
CETRORELIX	http://www.drugbank.ca/drugs/DB00050	http://bio2rdf.org/drugbank:DB00050
CETUXIMAB	http://www.drugbank.ca/drugs/DB00002	http://bio2rdf.org/drugbank:DB00002
CEVIMELINE	http://www.drugbank.ca/drugs/DB00185	http://bio2rdf.org/drugbank:DB00185
CHENODIOL	http://www.drugbank.ca/drugs/DB06777	http://bio2rdf.org/drugbank:DB06777
CHLORAL	http://www.drugbank.ca/drugs/DB02650	http://bio2rdf.org/drugbank:DB02650
CHLORAMBUCIL	http://www.drugbank.ca/drugs/DB00291	http://bio2rdf.org/drugbank:DB00291
CHLORAMPHENICOL	http://www.drugbank.ca/drugs/DB00446	http://bio2rdf.org/drugbank:DB00446
CHLORDIAZEPOXIDE	http://www.drugbank.ca/drugs/DB00475	http://bio2rdf.org/drugbank:DB00475
CHLORHEXIDINE	http://www.drugbank.ca/drugs/DB00878	http://bio2rdf.org/drugbank:DB00878
CHLOROPROCAINE	http://www.drugbank.ca/drugs/DB01161	http://bio2rdf.org/drugbank:DB01161
CHLOROQUINE	http://www.drugbank.ca/drugs/DB00608	http://bio2rdf.org/drugbank:DB00608
CHLOROTHIAZIDE	http://www.drugbank.ca/drugs/DB00880	http://bio2rdf.org/drugbank:DB00880
CHLOROXINE	http://www.drugbank.ca/drugs/DB01243	http://bio2rdf.org/drugbank:DB01243
CHLORPHENIRAMINE	http://www.drugbank.ca/drugs/DB01114	http://bio2rdf.org/drugbank:DB01114
CHLORPROMAZINE	http://www.drugbank.ca/drugs/DB00477	http://bio2rdf.org/drugbank:DB00477
CHLORPROPAMIDE	http://www.drugbank.ca/drugs/DB00672	http://bio2rdf.org/drugbank:DB00672
CHLORTHALIDONE	http://www.drugbank.ca/drugs/DB00310	http://bio2rdf.org/drugbank:DB00310
CHLORZOXAZONE	http://www.drugbank.ca/drugs/DB00356	http://bio2rdf.org/drugbank:DB00356
CHOLECALCIFEROL	http://www.drugbank.ca/drugs/DB00169	http://bio2rdf.org/drugbank:DB00169
CHOLESTYRAMINE	http://www.drugbank.ca/drugs/DB01432	http://bio2rdf.org/drugbank:DB01432
CHOLINE	http://www.drugbank.ca/drugs/DB00122	http://bio2rdf.org/drugbank:DB00122
CHORIOGONADOTROPIN ALFA	http://www.drugbank.ca/drugs/DB00097	http://bio2rdf.org/drugbank:DB00097
CICLESONIDE	http://www.drugbank.ca/drugs/DB01410	http://bio2rdf.org/drugbank:DB01410
CICLOPIROX	http://www.drugbank.ca/drugs/DB01188	http://bio2rdf.org/drugbank:DB01188
CIDOFOVIR ANHYDROUS	http://www.drugbank.ca/drugs/DB00369	http://bio2rdf.org/drugbank:DB00369
CILASTATIN	http://www.drugbank.ca/drugs/DB01597	http://bio2rdf.org/drugbank:DB01597
CILOSTAZOL	http://www.drugbank.ca/drugs/DB01166	http://bio2rdf.org/drugbank:DB01166
CIMETIDINE	http://www.drugbank.ca/drugs/DB00501	http://bio2rdf.org/drugbank:DB00501
CINACALCET	http://www.drugbank.ca/drugs/DB01012	http://bio2rdf.org/drugbank:DB01012
CIPROFLOXACIN	http://www.drugbank.ca/drugs/DB00537	http://bio2rdf.org/drugbank:DB00537
CISPLATIN	http://www.drugbank.ca/drugs/DB00515	http://bio2rdf.org/drugbank:DB00515
CITALOPRAM	http://www.drugbank.ca/drugs/DB00215	http://bio2rdf.org/drugbank:DB00215
CLADRIBINE	http://www.drugbank.ca/drugs/DB00242	http://bio2rdf.org/drugbank:DB00242
CLARITHROMYCIN	http://www.drugbank.ca/drugs/DB01211	http://bio2rdf.org/drugbank:DB01211
CLAVULANIC ACID	http://www.drugbank.ca/drugs/DB00766	http://bio2rdf.org/drugbank:DB00766
CLEMASTINE	http://www.drugbank.ca/drugs/DB00283	http://bio2rdf.org/drugbank:DB00283
CLIDINIUM	http://www.drugbank.ca/drugs/DB00771	http://bio2rdf.org/drugbank:DB00771
CLIDINIUM BROMIDE	http://www.drugbank.ca/drugs/DB00771	http://bio2rdf.org/drugbank:DB00771
