FDAPreferredTerm|DrugBankDrugString|CHEBI
1,4-DIAMINOBUTANE|Putrescine|http://purl.obolibrary.org/obo/CHEBI_17148
1,4-DIHYDROXYBUTANE|1,4-Butanediol|http://purl.obolibrary.org/obo/CHEBI_41189
1,4-TETRAMETHYLENE GLYCOL|1,4-Butanediol|http://purl.obolibrary.org/obo/CHEBI_41189
1,5-PENTAMETHYLENEDIAMINE|Pentane-1,5-Diamine|http://purl.obolibrary.org/obo/CHEBI_18127
1,5-PENTANEDICARBOXYLIC ACID|Pimelic Acid|http://purl.obolibrary.org/obo/CHEBI_30531
1,6-DIAMINOHEXANE|1,6-Diaminohexane|http://purl.obolibrary.org/obo/CHEBI_39618
1,6-HEXANEDIAMINE|1,6-Diaminohexane|http://purl.obolibrary.org/obo/CHEBI_39618
1,8-EPOXY-P-MENTHANE|Eucalyptol|http://purl.obolibrary.org/obo/CHEBI_27961
13-CIS-RETINOIC ACID|Isotretinoin|http://purl.obolibrary.org/obo/CHEBI_6067
1-AMINO-2,5-DIMETHYLBENZENE|2,5-Xylidine|http://purl.obolibrary.org/obo/CHEBI_518305
1-AMINO-3,4-DIMETHYLBENZENE|3,4-Dimethylaniline|http://purl.obolibrary.org/obo/CHEBI_39901
1-AMINOBUTANE|Butylamine|http://purl.obolibrary.org/obo/CHEBI_43799
1-ANILINO-8-NAPHTHALENESULFONIC ACID|1-Anilino-8-Naphthalene Sulfonate|http://purl.obolibrary.org/obo/CHEBI_39708
1-BUTANAMINE|Butylamine|http://purl.obolibrary.org/obo/CHEBI_43799
1-BUTANOL|Butan-1-Ol|http://purl.obolibrary.org/obo/CHEBI_28885
1-BUTYLAMINE|Butylamine|http://purl.obolibrary.org/obo/CHEBI_43799
1-CHLORO-3-ETHYL-1-PENTEN-4-YN-3-OL|Ethchlorvynol|http://purl.obolibrary.org/obo/CHEBI_4882
1-DOCOSANOL|Docosanol|http://purl.obolibrary.org/obo/CHEBI_31000
1-ETHYL-1,4-DIHYDRO-7-METHYL-4-OXO-1,8-NAPHTHYRIDINE-3-CARBOXYLIC ACID|Nalidixic Acid|http://purl.obolibrary.org/obo/CHEBI_100147
1-ETHYNYLCYCLOHEXANOL CARBAMATE|Ethinamate|http://purl.obolibrary.org/obo/CHEBI_4884
1-HYDROXY-3-METHYLBENZENE|M-Cresol|http://purl.obolibrary.org/obo/CHEBI_17231
1-HYDROXY-4-METHYLBENZENE|P-Cresol|http://purl.obolibrary.org/obo/CHEBI_17847
1-METHYL-2,4,6-TRINITROBENZENE|Trinitrotoluene|http://purl.obolibrary.org/obo/CHEBI_46053
1-NAPHTHALENEACETIC ACID|Naphthalen-1-Yl-Acetic Acid|http://purl.obolibrary.org/obo/CHEBI_32918
1-NAPHTHYLAMINE-6-SULFONIC ACID|5-AMINO-NAPHTALENE-2-MONOSULFONATE|http://purl.obolibrary.org/obo/CHEBI_44188
1-NONANECARBOXYLIC ACID|Decanoic Acid|http://purl.obolibrary.org/obo/CHEBI_30813
1-PHENYL-2-AMINOPROPANE|Amphetamine|http://purl.obolibrary.org/obo/CHEBI_2679
1-PHENYLETHANONE|ACETOPHENONE|http://purl.obolibrary.org/obo/CHEBI_27632
2-(1H-INDOL-3-YL)ETHANAMINE|2-(1H-INDOL-3-YL)ETHANAMINE|http://purl.obolibrary.org/obo/CHEBI_16765
2-(ACETYLOXY)BENZOIC ACID|Acetylsalicylic acid|http://purl.obolibrary.org/obo/CHEBI_15365
2-(DIETHYLAMINO)-1-PHENYL-1-PROPANONE|Diethylpropion|http://purl.obolibrary.org/obo/CHEBI_4530
2-(DIETHYLAMINO)PROPIOPHENONE|Diethylpropion|http://purl.obolibrary.org/obo/CHEBI_4530
2-(P-(2-CHLORO-1,2-DIPHENYLVINYL)PHENOXY)TRIETHYLAMINE|Clomifene|http://purl.obolibrary.org/obo/CHEBI_3752
2,2',2''-NITRILOTRIACETIC ACID|Nitrilotriacetic Acid|http://purl.obolibrary.org/obo/CHEBI_44557
2,2,2-TRIFLUOROETHYL ALCOHOL|Trifluoroethanol|http://purl.obolibrary.org/obo/CHEBI_42330
2,3,5,6-TETRAMETHYL-1,4-BENZOQUINONE|Duroquinone|http://purl.obolibrary.org/obo/CHEBI_42023
2,3,5,6-TETRAMETHYLBENZOQUINONE|Duroquinone|http://purl.obolibrary.org/obo/CHEBI_42023
2,3,5,6-TETRAMETHYL-P-BENZOQUINONE|Duroquinone|http://purl.obolibrary.org/obo/CHEBI_42023
2',4'-DIFLUORO-4-HYDROXY-3-BIPHENYLCARBOXYLIC ACID|Diflunisal|http://purl.obolibrary.org/obo/CHEBI_39669
2,5,8,11,14,17,20,23,26-NONAOXAOCTACOSAN-28-YL P-(BUTYLAMINO)BENZOATE|Benzonatate|http://purl.obolibrary.org/obo/CHEBI_3032
2,5-XYLIDINE|2,5-Xylidine|http://purl.obolibrary.org/obo/CHEBI_518305
2,6-DICARBOXYPYRIDINE|Dipicolinic Acid|http://purl.obolibrary.org/obo/CHEBI_46837
2,6-DIOXO-1,2,3,6-TETRAHYDROPURINE|Xanthine|http://purl.obolibrary.org/obo/CHEBI_17712
2,6-NAPHTHALENEDICARBOXYLIC ACID|2,6-DICARBOXYNAPHTHALENE|http://purl.obolibrary.org/obo/CHEBI_44460
2,6-PYRIDINEDICARBOXYLIC ACID|Dipicolinic Acid|http://purl.obolibrary.org/obo/CHEBI_46837
2-AMINO-6-OXO-HEXANOIC ACID|2-Amino-6-Oxo-Hexanoic Acid|http://purl.obolibrary.org/obo/CHEBI_17917
2-AMINOBENZOIC ACID|2-Aminobenzoic Acid|http://purl.obolibrary.org/obo/CHEBI_30754
2-AMINOETHANETHIOL|Cysteamine|http://purl.obolibrary.org/obo/CHEBI_17141
2-BENZAZINE|Isoquinoline|http://purl.obolibrary.org/obo/CHEBI_16092
2-BORNANONE|Camphor|http://purl.obolibrary.org/obo/CHEBI_36773
2-CAMPHANONE|Camphor|http://purl.obolibrary.org/obo/CHEBI_36773
2-CARBOXYANILINE|2-Aminobenzoic Acid|http://purl.obolibrary.org/obo/CHEBI_30754
2-CHLORO-5-(1-HYDROXY-3-OXO-1-ISOINDOLINYL)BENZENESULFONAMIDE|Chlorthalidone|http://purl.obolibrary.org/obo/CHEBI_3654
2-CHLORODEOXYADENOSINE|Cladribine|http://purl.obolibrary.org/obo/CHEBI_567361
2'-DEOXYCYTIDINE-5'-MONOPHOSPHATE|2'-Deoxycytidine-5'-Monophosphate|http://purl.obolibrary.org/obo/CHEBI_15918
2'-DEOXYGUANOSINE 5'-MONOPHOSPHATE|2'-Deoxyguanosine-5'-Monophosphate|http://purl.obolibrary.org/obo/CHEBI_16192
2'-DEOXYTHYMIDINE TRIPHOSPHATE|Thymidine-5'-Triphosphate|http://purl.obolibrary.org/obo/CHEBI_18077
2-ETHYLAMINO-1-(3-TRIFLUOROMETHYLPHENYL)PROPANE|Fenfluramine|http://purl.obolibrary.org/obo/CHEBI_5000
2-HEPTYL-4-QUINOLINOL 1-OXIDE|2-HEPTYL-4-HYDROXY QUINOLINE N-OXIDE|http://purl.obolibrary.org/obo/CHEBI_28362
2-HYDROXYBENZOIC ACID|Salicyclic acid|http://purl.obolibrary.org/obo/CHEBI_16914
2-HYDROXYBUTANE|2-Butanol|http://purl.obolibrary.org/obo/CHEBI_35687
2-METHOXYESTRADIOL|2-Methoxyestradiol|http://purl.obolibrary.org/obo/CHEBI_28955
2-METHYL-1-PHENYLPROPANE|Isobutylbenzene|http://purl.obolibrary.org/obo/CHEBI_43261
2-METHYL-5-NITROIMIDAZOLE-1-ETHANOL|Metronidazole|http://purl.obolibrary.org/obo/CHEBI_6909
2-METHYLMALONIC ACID|Methylmalonic Acid|http://purl.obolibrary.org/obo/CHEBI_30860
2-NAPHTHALENESULFONIC ACID|2-NAPHTHALENESULFONIC ACID|http://purl.obolibrary.org/obo/CHEBI_44229
2-OXO-2-PHENYLACETIC ACID|Benzoylformic Acid|http://purl.obolibrary.org/obo/CHEBI_18280
2-OXOPROPANOIC ACID|Pyruvic acid|http://purl.obolibrary.org/obo/CHEBI_32816
2-PHENYL-4H-CHROMEN-4-ONE|2-PHENYL-4H-CHROMEN-4-ONE|http://purl.obolibrary.org/obo/CHEBI_42491
2-PHENYLCHROMONE|2-PHENYL-4H-CHROMEN-4-ONE|http://purl.obolibrary.org/obo/CHEBI_42491
2-PYRIDINETHIOL|2-Pyridinethiol|http://purl.obolibrary.org/obo/CHEBI_45223
3-(4-HYDROXYPHENYL)PYRUVIC ACID|3-(4-HYDROXY-PHENYL)PYRUVIC ACID|http://purl.obolibrary.org/obo/CHEBI_15999
3-(P-HYDROXYPHENYL)PROPIONIC ACID|Hydroxyphenyl Propionic Acid|http://purl.obolibrary.org/obo/CHEBI_32980
3,3',4',5,7-PENTAHYDROXYFLAVONE|Quercetin|http://purl.obolibrary.org/obo/CHEBI_16243
3,3'-METHYLENEBIS(4-HYDROXYCOUMARIN)|Dicoumarol|http://purl.obolibrary.org/obo/CHEBI_4513
3,4-DIHYDRO-3-METHYL-4-OXOIMIDAZO(5,1-D)-AS-TETRAZINE-8-CARBOXAMIDE|Temozolomide|http://purl.obolibrary.org/obo/CHEBI_72564
3,5,3',5'-TETRAIODO-L-THYRONINE|Levothyroxine|http://purl.obolibrary.org/obo/CHEBI_18332
3,5,7,3',4'-PENTAHYDROXYFLAVONE|Quercetin|http://purl.obolibrary.org/obo/CHEBI_16243
3,7,11-TRIMETHYL-2,6,10-DODECATRIEN-1-OL|Farnesol|http://purl.obolibrary.org/obo/CHEBI_28600
3,7-DIMETHYLXANTHINE|Theobromine|http://purl.obolibrary.org/obo/CHEBI_28946
3-AMINOPROPANOIC ACID|Beta-Alanine|http://purl.obolibrary.org/obo/CHEBI_16958
3-CARBAMOYL-4-DEACETYL-3-DE(METHOXYCARBONYL)VINCALEUKOBLASTINE|Vindesine|http://purl.obolibrary.org/obo/CHEBI_36373
3-DIMETHYLAMINO-1,1-DI-(2'-THIENYL)-1-BUTENE|Dimethylthiambutene|http://purl.obolibrary.org/obo/CHEBI_59781
3-FLUOROTYROSINE|3-Fluorotyrosine|http://purl.obolibrary.org/obo/CHEBI_46534
3'-GMP|Guanosine-3'-Monophosphate|http://purl.obolibrary.org/obo/CHEBI_28072
3-HYDROXY-5-(HYDROXYMETHYL)-2-METHYLISONICOTINALDEHYDE|Pyridoxal|http://purl.obolibrary.org/obo/CHEBI_17310
3-HYDROXY-5-(HYDROXYMETHYL)-2-METHYLISONICOTINALDEHYDE 5-PHOSPHATE|Pyridoxal Phosphate|http://purl.obolibrary.org/obo/CHEBI_18405
3-METHYL-1-BUTANOL|1-Hydroxy-3-Methylbutane|http://purl.obolibrary.org/obo/CHEBI_15837
3-PHENYL-2-OXOPROPANOIC ACID|3-Phenylpyruvic Acid|http://purl.obolibrary.org/obo/CHEBI_30851
3-PHENYLPHENOL|M-Cresol|http://purl.obolibrary.org/obo/CHEBI_17231
3-PROPYLXANTHINE|Enprofylline|http://purl.obolibrary.org/obo/CHEBI_126237
3-PSEUDOTROPANOL|Pseudotropine|http://purl.obolibrary.org/obo/CHEBI_15742
3TC|Lamivudine|http://purl.obolibrary.org/obo/CHEBI_63577
4'-((4-METHYL-6-(1-METHYL-2-BENZIMIDAZOLYL)-2-PROPYL-1-BENZIMIDAZOLYL)METHYL)-2-BIPHENYLCARBOXYLIC ACID|Telmisartan|http://purl.obolibrary.org/obo/CHEBI_9434
4-(2-AMINOETHYL)PYROCATECHOL|Dopamine|http://purl.obolibrary.org/obo/CHEBI_18243
4-(DIPHENYLMETHYLENE)-1,1-DIMETHYLPIPERIDINIUM METHYL SULFATE|Diphemanil Methylsulfate|http://purl.obolibrary.org/obo/CHEBI_59782
4,4'-(PENTAMETHYLENEDIOXY)DIBENZAMIDINE|Pentamidine|http://purl.obolibrary.org/obo/CHEBI_45081
4',5,7-TRIHYDROXYISOFLAVONE|Genistein|http://purl.obolibrary.org/obo/CHEBI_28088
4,5-DICHLORO-M-BENZENEDISULFONAMIDE|Dichlorphenamide|http://purl.obolibrary.org/obo/CHEBI_101085
4-AMINO-2-METHYL-5-PYRIMIDINEMETHANOL|4-Amino-5-Hydroxymethyl-2-Methylpyrimidine|http://purl.obolibrary.org/obo/CHEBI_16892
4-AMINOBENZOIC ACID ETHYL ESTER|Benzocaine|http://purl.obolibrary.org/obo/CHEBI_116735
4'-BUTOXY-3-PIPERIDINOPROPIOPHENONE|Dyclonine|http://purl.obolibrary.org/obo/CHEBI_4724
4-METHYLPHENOL|P-Cresol|http://purl.obolibrary.org/obo/CHEBI_17847
4-METHYLTOLUENE|Para-Xylene|http://purl.obolibrary.org/obo/CHEBI_27417
4'-NITRO-2'-PHENOXYMETHANESULFONANILIDE|Nimesulide|http://purl.obolibrary.org/obo/CHEBI_44445
4-NITRO-2-PHENOXYMETHANESULFONANILIDE|Nimesulide|http://purl.obolibrary.org/obo/CHEBI_44445
4-TOLUENESULFONIC ACID|Para-Toluene Sulfonate|http://purl.obolibrary.org/obo/CHEBI_27849
5-((4-(2-(METHYL-2-PYRIDINYLAMINO)ETHOXY)PHENYL)METHYL)-2,4-THIAZOLIDINEDIONE|Rosiglitazone|http://purl.obolibrary.org/obo/CHEBI_50122
5-(1,2-DITHIOLAN-3-YL)VALERIC ACID|Lipoic Acid|http://purl.obolibrary.org/obo/CHEBI_16494
5-(3,3-DIMETHYL-1-TRIAZENO)IMIDAZOLE-4-CARBOXAMIDE|Dacarbazine|http://purl.obolibrary.org/obo/CHEBI_4305
5,7,4'-TRIHYDROXYFLAVONOL|Kaempherol|http://purl.obolibrary.org/obo/CHEBI_28499
5,7,8-TRIMETHYLTOCOL|Vitamin E|http://purl.obolibrary.org/obo/CHEBI_18145
5-ALLYL-5-ISOBUTYLBARBITURIC ACID|Butalbital|http://purl.obolibrary.org/obo/CHEBI_102524
5-ALLYL-5-ISOPROPYLBARBITURIC ACID|Aprobarbital|http://purl.obolibrary.org/obo/CHEBI_2791
5-CHLORO-1-(1-(3-(2-OXO-1-BENZIMIDAZOLINYL)PROPYL)-4-PIPERIDYL)-2-BENZIMIDAZOLINONE|Domperidone|http://purl.obolibrary.org/obo/CHEBI_31515
5-CHLORO-2-BENZOXAZOLINONE|Chlorzoxazone|http://purl.obolibrary.org/obo/CHEBI_3655
5-ETHYL-1-METHYL-5-PHENYLBARBITURIC ACID|Methylphenobarbital|http://purl.obolibrary.org/obo/CHEBI_6758
5-ETHYL-5-ISOPENTYLBARBITURIC ACID|Amobarbital|http://purl.obolibrary.org/obo/CHEBI_2673
5-FU|Fluorouracil|http://purl.obolibrary.org/obo/CHEBI_46345
5'-GMP|Guanosine-5'-Monophosphate|http://purl.obolibrary.org/obo/CHEBI_17345
5-SEC-BUTYL-5-ETHYLBARBITURIC ACID|Butabarbital|http://purl.obolibrary.org/obo/CHEBI_3228
5'-UMP|Uridine-5'-Monophosphate|http://purl.obolibrary.org/obo/CHEBI_16695
6-CHLORO-9-((4-(DIETHYLAMINO)-1-METHYLBUTYL)AMINO)-2-METHOXYACRIDINE|Quinacrine|http://purl.obolibrary.org/obo/CHEBI_8711
6-ETHOXY-2-BENZOTHIAZOLESULFONAMIDE|Ethoxzolamide|http://purl.obolibrary.org/obo/CHEBI_101096
6-METHYLENEANDROSTA-1,4-DIENE-3,17-DIONE|Exemestane|http://purl.obolibrary.org/obo/CHEBI_4953
8-METHOXYPSORALEN|Methoxsalen|http://purl.obolibrary.org/obo/CHEBI_18358
8-MOP|Methoxsalen|http://purl.obolibrary.org/obo/CHEBI_18358
9-AMINOPHENANTHRENE|9-Aminophenanthrene|http://purl.obolibrary.org/obo/CHEBI_50475
9-CIS-HEXADECENOIC ACID|Palmitoleic Acid|http://purl.obolibrary.org/obo/CHEBI_28716
ABARELIX|Abarelix|http://purl.obolibrary.org/obo/CHEBI_337298
ABILIFY|Aripiprazole|http://purl.obolibrary.org/obo/CHEBI_31236
ABIRATERONE|Abiraterone|http://purl.obolibrary.org/obo/CHEBI_68642
ABREVA|Docosanol|http://purl.obolibrary.org/obo/CHEBI_31000
ACAMPROSATE|Acamprosate|http://purl.obolibrary.org/obo/CHEBI_51041
ACARBOSE|Acarbose|http://purl.obolibrary.org/obo/CHEBI_2376
ACCOLATE|Zafirlukast|http://purl.obolibrary.org/obo/CHEBI_10100
ACCUTANE|Isotretinoin|http://purl.obolibrary.org/obo/CHEBI_6067
ACEBUTOLOL|Acebutolol|http://purl.obolibrary.org/obo/CHEBI_2379
ACENOCOUMAROL|Acenocoumarol|http://purl.obolibrary.org/obo/CHEBI_53766
ACEPROMETAZINE|Aceprometazine|http://purl.obolibrary.org/obo/CHEBI_53770
ACETATE ION|Acetic acid|http://purl.obolibrary.org/obo/CHEBI_30089
ACETAZOLAMIDE|Acetazolamide|http://purl.obolibrary.org/obo/CHEBI_27690
ACETIC ACID AMIDE|Acetamide|http://purl.obolibrary.org/obo/CHEBI_27856
ACETIC ACID, ION(1-)|Acetic acid|http://purl.obolibrary.org/obo/CHEBI_30089
ACETOHYDROXAMIC ACID|Acetohydroxamic Acid|http://purl.obolibrary.org/obo/CHEBI_27777
ACETONE CYANHYDRIN|Acetone Cyanohydrin|http://purl.obolibrary.org/obo/CHEBI_15348
ACETONE CYANOHYDRIN|Acetone Cyanohydrin|http://purl.obolibrary.org/obo/CHEBI_15348
ACETOPHENETIDIN|Phenacetin|http://purl.obolibrary.org/obo/CHEBI_8050
ACETPHENETIDIN|Phenacetin|http://purl.obolibrary.org/obo/CHEBI_8050
ACETYL METHYL CARBINOL|S,3-Hydroxybutan-2-One|http://purl.obolibrary.org/obo/CHEBI_15688
ACETYLBENZENE|ACETOPHENONE|http://purl.obolibrary.org/obo/CHEBI_27632
ACETYLCARNITINE|Acetylcarnitine|http://purl.obolibrary.org/obo/CHEBI_57589
ACETYLCYSTEINE|Acetylcysteine|http://purl.obolibrary.org/obo/CHEBI_28939
ACETYLDIGITOXIN|Acetyldigitoxin|http://purl.obolibrary.org/obo/CHEBI_53773
ACETYLENE CARBAMIDE|Glycoluril|http://purl.obolibrary.org/obo/CHEBI_42946
ACETYLENEDIUREINE|Glycoluril|http://purl.obolibrary.org/obo/CHEBI_42946
ACETYLENEUREA|Glycoluril|http://purl.obolibrary.org/obo/CHEBI_42946
ACETYLFORMIC ACID|Pyruvic acid|http://purl.obolibrary.org/obo/CHEBI_32816
ACETYLPROMAZINE|Acepromazine|http://purl.obolibrary.org/obo/CHEBI_44932
ACHROMYCIN|Tetracycline|http://purl.obolibrary.org/obo/CHEBI_27902
ACICLOVIR|Aciclovir|http://purl.obolibrary.org/obo/CHEBI_2453
ACIDUM ACETYLSALICYLICUM|Acetylsalicylic acid|http://purl.obolibrary.org/obo/CHEBI_15365
ACITRETIN|Acitretin|http://purl.obolibrary.org/obo/CHEBI_50173
ACLIDINIUM BROMIDE|Aclidinium|http://purl.obolibrary.org/obo/CHEBI_65344
ACTIGALL|Ursodeoxycholic acid|http://purl.obolibrary.org/obo/CHEBI_9907
ACV|L-D-(a-Aminoadipoyl)-L-Cysteinyl-D-Valine|http://purl.obolibrary.org/obo/CHEBI_28496
ADALAT|Nifedipine|http://purl.obolibrary.org/obo/CHEBI_7565
ADAPALENE|Adapalene|http://purl.obolibrary.org/obo/CHEBI_31174
ADENOCARD|Adenosine|http://purl.obolibrary.org/obo/CHEBI_16335
ADENOSCAN|Adenosine|http://purl.obolibrary.org/obo/CHEBI_16335
ADENOSINE 3',5'-CYCLIC MONOPHOSPHATE|Cyclic Adenosine Monophosphate|http://purl.obolibrary.org/obo/CHEBI_17489
ADENOSINE 3',5'-PHOSPHATE|Cyclic Adenosine Monophosphate|http://purl.obolibrary.org/obo/CHEBI_17489
ADENOSINE MONOPHOSPHATE|Adenosine monophosphate|http://purl.obolibrary.org/obo/CHEBI_16027
ADENOSINE PHOSPHATE|Adenosine monophosphate|http://purl.obolibrary.org/obo/CHEBI_16027
ADENOSINE TRIPHOSPHATE|Adenosine triphosphate|http://purl.obolibrary.org/obo/CHEBI_15422
ADINAZOLAM|Adinazolam|http://purl.obolibrary.org/obo/CHEBI_251412
ADRENALIN|Epinephrine|http://purl.obolibrary.org/obo/CHEBI_28918
ADRENALINE|Epinephrine|http://purl.obolibrary.org/obo/CHEBI_28918
ADRIAMYCIN|Doxorubicin|http://purl.obolibrary.org/obo/CHEBI_28748
ADVIL|Ibuprofen|http://purl.obolibrary.org/obo/CHEBI_5855
AETIOCHOLANOLONE|Aetiocholanolone|http://purl.obolibrary.org/obo/CHEBI_28195
AG-013736|Axitinib|http://purl.obolibrary.org/obo/CHEBI_66910
AGUCORT|Oseltamivir|http://purl.obolibrary.org/obo/CHEBI_7798
AICAR|Aicar|http://purl.obolibrary.org/obo/CHEBI_18406
ALANINE|L-Alanine|http://purl.obolibrary.org/obo/CHEBI_16977
ALBENZA|Albendazole|http://purl.obolibrary.org/obo/CHEBI_16664
ALCAFTADINE|Alcaftadine|http://purl.obolibrary.org/obo/CHEBI_71023
ALCLOMETASONE|Alclometasone|http://purl.obolibrary.org/obo/CHEBI_53776
ALCOHOL|Ethanol|http://purl.obolibrary.org/obo/CHEBI_16236
ALENDRONATE|Alendronate|http://purl.obolibrary.org/obo/CHEBI_2567
ALENDRONIC ACID|Alendronate|http://purl.obolibrary.org/obo/CHEBI_2567
ALFENTANIL|Alfentanil|http://purl.obolibrary.org/obo/CHEBI_2569
ALFUZOSIN|Alfuzosin|http://purl.obolibrary.org/obo/CHEBI_51141
ALISKIREN|Aliskiren|http://purl.obolibrary.org/obo/CHEBI_601027
ALITRETINOIN|Alitretinoin|http://purl.obolibrary.org/obo/CHEBI_50648
ALIZARINBORDEAUX|1,2,5,8-tetrahydroxyanthracene-9,10-dione|http://purl.obolibrary.org/obo/CHEBI_37495
ALLYLBARBITURIC ACID|Butalbital|http://purl.obolibrary.org/obo/CHEBI_102524
ALMITRINE|Almitrine|http://purl.obolibrary.org/obo/CHEBI_53778
ALMOTRIPTAN|Almotriptan|http://purl.obolibrary.org/obo/CHEBI_520985
ALOGLIPTIN|Alogliptin |http://purl.obolibrary.org/obo/CHEBI_72323
ALPHA-AMINOISOBUTYRIC ACID|Alpha-Aminoisobutyric Acid|http://purl.obolibrary.org/obo/CHEBI_40599
ALPHA-LIPOIC ACID|Lipoic Acid|http://purl.obolibrary.org/obo/CHEBI_16494
ALPHA-NAPHTHALENEACETIC ACID|Naphthalen-1-Yl-Acetic Acid|http://purl.obolibrary.org/obo/CHEBI_32918
ALPRENOLOL|Alprenolol|http://purl.obolibrary.org/obo/CHEBI_51211
ALPROSTADIL|Alprostadil|http://purl.obolibrary.org/obo/CHEBI_15544
ALREDASE|Tolrestat|http://purl.obolibrary.org/obo/CHEBI_48549
ALUMINIUM|Aluminium|http://purl.obolibrary.org/obo/CHEBI_28984
ALUMINUM|Aluminium|http://purl.obolibrary.org/obo/CHEBI_28984
ALURATE|Aprobarbital|http://purl.obolibrary.org/obo/CHEBI_2791
ALVERINE|Alverine|http://purl.obolibrary.org/obo/CHEBI_518413
AMANTADINE|Amantadine|http://purl.obolibrary.org/obo/CHEBI_2618
AMARYL|Glimepiride|http://purl.obolibrary.org/obo/CHEBI_5383
AMBER ACID|Succinic acid|http://purl.obolibrary.org/obo/CHEBI_15741
AMCINONIDE|Amcinonide|http://purl.obolibrary.org/obo/CHEBI_31199
AMDINOCILLIN|Amdinocillin|http://purl.obolibrary.org/obo/CHEBI_51208
AMDINOCILLIN PIVOXIL|Pivmecillinam|http://purl.obolibrary.org/obo/CHEBI_51210
AMETYCINE|Mitomycin|http://purl.obolibrary.org/obo/CHEBI_27504
AMFEPRAMONE|Diethylpropion|http://purl.obolibrary.org/obo/CHEBI_4530
AMFETAMINE|Amphetamine|http://purl.obolibrary.org/obo/CHEBI_2679
AMICAR|Aminocaproic Acid|http://purl.obolibrary.org/obo/CHEBI_16586
