FDAPreferredTerm|DrugBankDrugString|DrugBank
1-NAPHTHALENEACETIC ACID|Naphthalen-1-Yl-Acetic Acid|http://www.drugbank.ca/drugs/DB01750
1-NAPHTHYLAMINE-5-SULFONIC ACID|5-aminonaphthalene-1-sulfonic acid|http://www.drugbank.ca/drugs/DB07176
1-NAPHTHYLAMINE-6-SULFONIC ACID|5-AMINO-NAPHTALENE-2-MONOSULFONATE|http://www.drugbank.ca/drugs/DB08238
1-OCTEN-3-OL, (+)-|1-Octen-3-Ol|http://www.drugbank.ca/drugs/DB03025
1-PIPERIDINOCYCLOHEXANECARBONITRILE|1-Piperidinocyclohexanecarbonitrile|http://www.drugbank.ca/drugs/DB01539
1-TESTOSTERONE|Delta1-dihydrotestosterone|http://www.drugbank.ca/drugs/DB01481
2-(4-BIPHENYL)PROPIONIC ACID, (+)-|2-(1,1'-Biphenyl-4-Yl)Propanoic Acid|http://www.drugbank.ca/drugs/DB02047
2-(CYCLOHEXYLAMINO)ETHANESULFONIC ACID|N-Cyclohexyltaurine|http://www.drugbank.ca/drugs/DB03309
2,2,2-TRIFLUOROETHANOL|Trifluoroethanol|http://www.drugbank.ca/drugs/DB03226
2,3-BUTANEDIOL, ERYTHRO-|(R,R)-2,3-Butanediol|http://www.drugbank.ca/drugs/DB02418
2,4,6-TRIBROMOPHENOL|2,4,6-Tribromophenol|http://www.drugbank.ca/drugs/DB02417
2,4,6-TRINITROTOLUENE|Trinitrotoluene|http://www.drugbank.ca/drugs/DB01676
2,4-DIHYDROXYBENZOIC ACID|2,4-Dihydroxybenzoic Acid|http://www.drugbank.ca/drugs/DB02839
2,4-DINITROPHENOL|2,4-Dinitrophenol|http://www.drugbank.ca/drugs/DB04528
2,5-XYLIDINE|2,5-Xylidine|http://www.drugbank.ca/drugs/DB02163
2,6-NAPHTHALENEDICARBOXYLIC ACID|2,6-DICARBOXYNAPHTHALENE|http://www.drugbank.ca/drugs/DB08262
2,6-NAPHTHALENEDISULFONIC ACID|Naphthalene-2,6-disulfonic acid|http://www.drugbank.ca/drugs/DB04640
2,6-PYRIDINEDICARBOXYLIC ACID|Dipicolinic Acid|http://www.drugbank.ca/drugs/DB04267
2-AMINO-1-METHYL-6-PHENYLIMIDAZO(4,5-B)PYRIDINE|2-AMINO-1-METHYL-6-PHENYLIMIDAZO[4,5-B]PYRIDINE|http://www.drugbank.ca/drugs/DB08398
2-AMINO-3-HYDROXYBENZOIC ACID|3-Hydroxyanthranilic Acid|http://www.drugbank.ca/drugs/DB03644
2-AMINOACETAMIDE|Glycinamid|http://www.drugbank.ca/drugs/DB03636
2-BUTANOL, (-)-|2-Butanol|http://www.drugbank.ca/drugs/DB02606
2-CHLOROPHENOL|2-Chlorophenol|http://www.drugbank.ca/drugs/DB03110
2-HEPTYL-4-HYDROXYQUINOLINE N-OXIDE|2-HEPTYL-4-HYDROXY QUINOLINE N-OXIDE|http://www.drugbank.ca/drugs/DB07918
2-HYDROXYCINNAMIC ACID, (2E)-|trans-2-hydroxycinnamic acid|http://www.drugbank.ca/drugs/DB01650
2-HYDROXYETHYL DISULFIDE|2-Hydroxyethyl Disulfide|http://www.drugbank.ca/drugs/DB02486
2-ISOBUTYL-3-METHOXYPYRAZINE|2-Isobutyl-3-Methoxypyrazine|http://www.drugbank.ca/drugs/DB04512
2-MERCAPTOETHANOL|Beta-Mercaptoethanol|http://www.drugbank.ca/drugs/DB03345
2-METHOXY-4-VINYLPHENOL|2-Methoxy-4-Vinyl-Phenol|http://www.drugbank.ca/drugs/DB03514
2-NAPHTHALENESULFONIC ACID|2-NAPHTHALENESULFONIC ACID|http://www.drugbank.ca/drugs/DB08254
2-NITRO-P-CRESOL|2-Nitro-P-Cresol|http://www.drugbank.ca/drugs/DB04110
2-OXOLEUCINE|2-Oxo-4-Methylpentanoic Acid|http://www.drugbank.ca/drugs/DB03229
2-UNDECANONE|undecan-2-one|http://www.drugbank.ca/drugs/DB08688
3-(3,4-DIMETHOXYPHENYL)PROPIONIC ACID|3-(3,4-Dimethoxyphenyl)Propionic Acid|http://www.drugbank.ca/drugs/DB04208
3-(4-HYDROXYPHENYL)PROPIONIC ACID|Hydroxyphenyl Propionic Acid|http://www.drugbank.ca/drugs/DB03897
3-(4-HYDROXYPHENYL)PYRUVIC ACID|3-(4-HYDROXY-PHENYL)PYRUVIC ACID|http://www.drugbank.ca/drugs/DB07718
3-(CYCLOHEXYLAMINO)PROPANESULFONIC ACID|3-Cyclohexyl-1-Propylsulfonic Acid|http://www.drugbank.ca/drugs/DB02219
3-(N-MORPHOLINO)PROPANESULFONIC ACID|3[N-Morpholino]Propane Sulfonic Acid|http://www.drugbank.ca/drugs/DB03434
3,3',5,5'-TETRACHLORO-4,4'-BIPHENYLDIOL|3,5,3',5'-Tetrachloro-Biphenyl-4,4'-Diol|http://www.drugbank.ca/drugs/DB03346
3,3',5,5'-TETRAIODOTHYROACETIC ACID|3,3',5,5'-Tetraiodothyroacetic Acid|http://www.drugbank.ca/drugs/DB01751
3,4-BIPHENYLDIOL|1,1'-BIPHENYL-3,4-DIOL|http://www.drugbank.ca/drugs/DB07478
3,4-DIHYDROXYBENZOIC ACID|3,4-Dihydroxybenzoic Acid|http://www.drugbank.ca/drugs/DB03946
3,5-DINITROCATECHOL|3,5-Dinitrocatechol|http://www.drugbank.ca/drugs/DB02105
3-FLUOROTYROSINE, L-|3-Fluorotyrosine|http://www.drugbank.ca/drugs/DB04436
3-INDOLEPROPIONIC ACID|Indolylpropionic Acid|http://www.drugbank.ca/drugs/DB02758
3-IODOTYROSINE|3-Iodo-Tyrosine|http://www.drugbank.ca/drugs/DB01758
3-METHYL-2-OXOBUTYRIC ACID|Alpha-ketoisovalerate|http://www.drugbank.ca/drugs/DB04074
3-METHYLCATECHOL|3-Methyl-Benzene-1,2-Diol|http://www.drugbank.ca/drugs/DB03454
3-NITRO-L-TYROSINE|Meta-Nitro-Tyrosine|http://www.drugbank.ca/drugs/DB03867
3-PHENYL PROPIONIC ACID|3-phenylpropionic acid|http://www.drugbank.ca/drugs/DB02024
3-TYROSINE|Meta-Tyrosine|http://www.drugbank.ca/drugs/DB03552
4-(DIMETHYLAMINO)BENZOIC ACID|4-(DIMETHYLAMINO)BENZOIC ACID|http://www.drugbank.ca/drugs/DB08748
4-(METHYLTHIO)-2-OXOBUTANOIC ACID|4-(Methylsulfanyl)-2-Oxobutanoic Acid|http://www.drugbank.ca/drugs/DB02238
4,4'-CYCLOHEXYLIDENEBISPHENOL|4,4'-cyclohexane-1,1-diyldiphenol|http://www.drugbank.ca/drugs/DB07485
4,4'-DIHYDOXY-BENZOPHENONE|bis(4-hydroxyphenyl)methanone|http://www.drugbank.ca/drugs/DB07635
4-ANDROSTENEDIOL|4-Androstenediol|http://www.drugbank.ca/drugs/DB01526
4-BROMO-2,5-DIMETHOXYPHENETHYLAMINE|4-Bromo-2,5-dimethoxyphenethylamine|http://www.drugbank.ca/drugs/DB01537
4-HYDROXY-2-BUTANONE|4-Hydroxy-2-Butanone|http://www.drugbank.ca/drugs/DB04094
4-HYDROXYBENZALDEHYDE|P-Hydroxybenzaldehyde|http://www.drugbank.ca/drugs/DB03560
4-HYDROXYBENZOIC ACID|P-Hydroxybenzoic Acid|http://www.drugbank.ca/drugs/DB04242
4-IODOPHENYLALANINE|Iodo-Phenylalanine|http://www.drugbank.ca/drugs/DB03660
4-NITROCATECHOL|4-Nitrocatechol|http://www.drugbank.ca/drugs/DB03407
4'-PHOSPHOPANTETHEINE|4'-Phosphopantetheine|http://www.drugbank.ca/drugs/DB03912
5,7-DICHLOROKYNURENIC ACID|Dcka, 5,7-Dichlorokynurenic Acid|http://www.drugbank.ca/drugs/DB01931
5-AMINOURACIL|5-Amino-1h-Pyrimidine-2,4-Dione|http://www.drugbank.ca/drugs/DB03792
5-FLUOROURIDINE|5-Fluorouridine|http://www.drugbank.ca/drugs/DB01629
5-METHOXY-N,N-DIISOPROPYLTRYPTAMINE|5-Methoxy-N,N-diisopropyltryptamine|http://www.drugbank.ca/drugs/DB01441
5-PHENYLVALERIC ACID|5-Phenylvaleric Acid|http://www.drugbank.ca/drugs/DB04051
8-AZAGUANINE|8-azaguanine|http://www.drugbank.ca/drugs/DB01667
9-AMINOPHENANTHRENE|9-Aminophenanthrene|http://www.drugbank.ca/drugs/DB03369
9-METHYLGUANINE|9-Methylguanine|http://www.drugbank.ca/drugs/DB02489
ABACAVIR|Abacavir|http://www.drugbank.ca/drugs/DB01048
ABIRATERONE|Abiraterone|http://www.drugbank.ca/drugs/DB05812
ACADESINE|Acadesine|http://www.drugbank.ca/drugs/DB04944
ACAMPROSATE|Acamprosate|http://www.drugbank.ca/drugs/DB00659
ACEDIASULFONE|Acediasulfone|http://www.drugbank.ca/drugs/DB08926
ACEDOBEN|4-acetamidobenzoic acid|http://www.drugbank.ca/drugs/DB04500
ACEGLUTAMIDE|N-Acetyl-L-Glutamine|http://www.drugbank.ca/drugs/DB04167
ACEPROMAZINE|Acepromazine|http://www.drugbank.ca/drugs/DB01614
ACETAMIDE|Acetamide|http://www.drugbank.ca/drugs/DB02736
ACETAMINOPHEN|Acetaminophen|http://www.drugbank.ca/drugs/DB00316
ACETATE ION|Acetic acid|http://www.drugbank.ca/drugs/DB03166
ACETAZOLAMIDE|Acetazolamide|http://www.drugbank.ca/drugs/DB00819
ACETOACETIC ACID|Acetoacetic Acid|http://www.drugbank.ca/drugs/DB01762
ACETOHEXAMIDE|Acetohexamide|http://www.drugbank.ca/drugs/DB00414
ACETOHYDROXAMIC ACID|Acetohydroxamic Acid|http://www.drugbank.ca/drugs/DB00551
ACETONE CYANOHYDRIN|Acetone Cyanohydrin|http://www.drugbank.ca/drugs/DB02203
ACETOPHENAZINE|Acetophenazine|http://www.drugbank.ca/drugs/DB01063
ACETOPHENONE|ACETOPHENONE|http://www.drugbank.ca/drugs/DB04619
ACETURIC ACID|Acetylamino-Acetic Acid|http://www.drugbank.ca/drugs/DB02713
ACETYL ARGININE|N-Alpha-L-Acetyl-Arginine|http://www.drugbank.ca/drugs/DB01985
ACETYL GLUTAMIC ACID|N-Acetyl-L-Glutamate|http://www.drugbank.ca/drugs/DB04075
ACETYLCHOLINE|Acetylcholine|http://www.drugbank.ca/drugs/DB03128
ACETYLCYSTEINE|Acetylcysteine|http://www.drugbank.ca/drugs/DB06151
ACETYLDIGITOXIN|Acetyldigitoxin|http://www.drugbank.ca/drugs/DB00511
ACETYLDIHYDROCODEINE|Acetyldihydrocodeine|http://www.drugbank.ca/drugs/DB01538
ACETYLENEUREA|Glycoluril|http://www.drugbank.ca/drugs/DB03533
ACITRETIN|Acitretin|http://www.drugbank.ca/drugs/DB00459
ACLIDINIUM|Aclidinium|http://www.drugbank.ca/drugs/DB08897
ACRYLIC ACID|polyacrylic acid|http://www.drugbank.ca/drugs/DB05384
ACTINONIN|2-[(Formyl-Hydroxy-Amino)-Methyl]-Heptanoic Acid [1-(2-Hydroxymethyl-Pyrrolidine-1-Carbonyl)-2-Methyl-Propyl]-Amide|http://www.drugbank.ca/drugs/DB04310
ACV TRIPEPTIDE|L-D-(a-Aminoadipoyl)-L-Cysteinyl-D-Valine|http://www.drugbank.ca/drugs/DB02025
ACYCLOVIR|iontophoretic acyclovir|http://www.drugbank.ca/drugs/DB05347
ADEFOVIR DIPIVOXIL|Adefovir Dipivoxil|http://www.drugbank.ca/drugs/DB00718
ADENINE|Adenine|http://www.drugbank.ca/drugs/DB00173
ADENOSINE|Adenosine|http://www.drugbank.ca/drugs/DB00640
ADENOSINE PHOSPHATE|Adenosine monophosphate|http://www.drugbank.ca/drugs/DB00131
ADINAZOLAM|Adinazolam|http://www.drugbank.ca/drugs/DB00546
AFATINIB|Afatinib|http://www.drugbank.ca/drugs/DB08916
AFIMOXIFENE, E-ISOMER|Afimoxifene|http://www.drugbank.ca/drugs/DB04468
AGMATINE|Agmatine|http://www.drugbank.ca/drugs/DB08838
AGOMELATINE|Agomelatine|http://www.drugbank.ca/drugs/DB06594
ALANINE|D-Alanine|http://www.drugbank.ca/drugs/DB01786
ALBENDAZOLE|Albendazole|http://www.drugbank.ca/drugs/DB00518
ALCAFTADINE|Alcaftadine|http://www.drugbank.ca/drugs/DB06766
ALCLOMETASONE|Alclometasone|http://www.drugbank.ca/drugs/DB00240
ALCOHOL|Ethanol|http://www.drugbank.ca/drugs/DB00898
ALDOSTERONE|Aldosterone|http://www.drugbank.ca/drugs/DB04630
ALENDRONIC ACID|Alendronate|http://www.drugbank.ca/drugs/DB00630
ALETHINE|beta alethine|http://www.drugbank.ca/drugs/DB05800
ALFACALCIDOL|Alfacalcidol|http://www.drugbank.ca/drugs/DB01436
ALFENTANIL|Alfentanil|http://www.drugbank.ca/drugs/DB00802
ALISKIREN|Aliskiren|http://www.drugbank.ca/drugs/DB01258
ALITRETINOIN|Alitretinoin|http://www.drugbank.ca/drugs/DB00523
ALLOISOLEUCINE, L-|Allo-Isoleucine|http://www.drugbank.ca/drugs/DB01739
ALLOPURINOL|Allopurinol|http://www.drugbank.ca/drugs/DB00437
ALLYLESTRENOL|Allylestrenol|http://www.drugbank.ca/drugs/DB01431
ALMITRINE|Almitrine|http://www.drugbank.ca/drugs/DB01430
ALMOTRIPTAN|Almotriptan|http://www.drugbank.ca/drugs/DB00918
ALOGLIPTIN|Alogliptin |http://www.drugbank.ca/drugs/DB06203
ALOSETRON|Alosetron|http://www.drugbank.ca/drugs/DB00969
ALPHACETYLMETHADOL|Alphacetylmethadol|http://www.drugbank.ca/drugs/DB01555
ALPHAMETHADOL|Alphamethadol|http://www.drugbank.ca/drugs/DB01498
ALPRAZOLAM|Alprazolam|http://www.drugbank.ca/drugs/DB00404
ALPROSTADIL|Alprostadil|http://www.drugbank.ca/drugs/DB00770
ALRESTATIN|Alrestatin|http://www.drugbank.ca/drugs/DB02020
ALTRETAMINE|Altretamine|http://www.drugbank.ca/drugs/DB00488
ALTROPANE|Altropane|http://www.drugbank.ca/drugs/DB04947
ALUMINUM|Aluminium|http://www.drugbank.ca/drugs/DB01370
ALUMINUM HYDROXIDE|Aluminum hydroxide|http://www.drugbank.ca/drugs/DB06723
ALVERINE|Alverine|http://www.drugbank.ca/drugs/DB01616
ALVIMOPAN ANHYDROUS|Alvimopan|http://www.drugbank.ca/drugs/DB06274
ALVOCIDIB|Flavopiridol|http://www.drugbank.ca/drugs/DB03496
AMBENONIUM|Ambenonium|http://www.drugbank.ca/drugs/DB01122
AMCINONIDE|Amcinonide|http://www.drugbank.ca/drugs/DB00288
AMIFOSTINE ANHYDROUS|Amifostine|http://www.drugbank.ca/drugs/DB01143
AMIKACIN|Amikacin|http://www.drugbank.ca/drugs/DB00479
AMILORIDE|Amiloride|http://www.drugbank.ca/drugs/DB00594
AMINEPTINE HYDROCHLORIDE|Amineptine|http://www.drugbank.ca/drugs/DB04836
AMINOBENZOIC ACID|4-Aminobenzoic Acid|http://www.drugbank.ca/drugs/DB02362
AMINOCAPROIC ACID|Aminocaproic Acid|http://www.drugbank.ca/drugs/DB00513
AMINOHIPPURIC ACID|Aminohippurate|http://www.drugbank.ca/drugs/DB00345
AMINOLEVULINIC ACID|Aminolevulinic acid|http://www.drugbank.ca/drugs/DB00855
AMINOPHENAZONE|Aminophenazone|http://www.drugbank.ca/drugs/DB01424
AMINOPHYLLINE|Aminophylline|http://www.drugbank.ca/drugs/DB01223
AMINOPROPYL DIHYDROGEN PHOSPHATE|O-Phosphoethanolamine|http://www.drugbank.ca/drugs/DB01738
AMINOPTERIN|Aminopterin|http://www.drugbank.ca/drugs/DB08878
AMINOQUINURIDE|N,N'-Bis(4-Amino-2-Methylquinolin-6-Yl)Urea|http://www.drugbank.ca/drugs/DB04452
AMINOSALICYLIC ACID|Aminosalicylic Acid|http://www.drugbank.ca/drugs/DB00233
AMINOXYACETIC ACID|(Aminooxy)Acetic Acid|http://www.drugbank.ca/drugs/DB02079
AMIODARONE|Amiodarone|http://www.drugbank.ca/drugs/DB01118
AMITRIPTYLINE|Amitriptyline|http://www.drugbank.ca/drugs/DB00321
AMLEXANOX|Amlexanox|http://www.drugbank.ca/drugs/DB01025
AMOBARBITAL|Amobarbital|http://www.drugbank.ca/drugs/DB01351
AMODIAQUINE|Amodiaquine|http://www.drugbank.ca/drugs/DB00613
AMONAFIDE|Amonafide|http://www.drugbank.ca/drugs/DB05022
AMOXAPINE|Amoxapine|http://www.drugbank.ca/drugs/DB00543
AMOXICILLIN ANHYDROUS|Amoxicillin|http://www.drugbank.ca/drugs/DB01060
AMPA, L-|AMPA|http://www.drugbank.ca/drugs/DB02057
AMPEROZIDE|Amperozide|http://www.drugbank.ca/drugs/DB08927
AMPHOTERICIN B|Amphotericin B|http://www.drugbank.ca/drugs/DB00681
AMPICILLIN|Ampicillin|http://www.drugbank.ca/drugs/DB00415
AMPRENAVIR|Amprenavir|http://www.drugbank.ca/drugs/DB00701
AMSACRINE|Amsacrine|http://www.drugbank.ca/drugs/DB00276
ANAGRELIDE|Anagrelide|http://www.drugbank.ca/drugs/DB00261
ANASTROZOLE|Anastrozole|http://www.drugbank.ca/drugs/DB01217
ANDROSTENEDIONE|4-Androstenedione|http://www.drugbank.ca/drugs/DB01536
ANECORTAVE ACETATE|anecortave acetate|http://www.drugbank.ca/drugs/DB05288
ANHYDROUS CITRIC ACID|Citric Acid|http://www.drugbank.ca/drugs/DB04272
ANIDULAFUNGIN|Anidulafungin|http://www.drugbank.ca/drugs/DB00362
ANILERIDINE|Anileridine|http://www.drugbank.ca/drugs/DB00913
ANILINE|Aniline|http://www.drugbank.ca/drugs/DB06728
ANIRACETAM|Aniracetam|http://www.drugbank.ca/drugs/DB04599
ANISINDIONE|Anisindione|http://www.drugbank.ca/drugs/DB01125
ANISOMYCIN|ANISOMYCIN|http://www.drugbank.ca/drugs/DB07374
ANTAZOLINE|Antazoline|http://www.drugbank.ca/drugs/DB08799
ANTHRACENE|ANTHRACENE|http://www.drugbank.ca/drugs/DB07372
ANTHRANILIC ACID|2-Aminobenzoic Acid|http://www.drugbank.ca/drugs/DB04166
ANTIPYRINE|Antipyrine|http://www.drugbank.ca/drugs/DB01435
ANTRAFENINE|Antrafenine|http://www.drugbank.ca/drugs/DB01419
APIXABAN|Apixaban|http://www.drugbank.ca/drugs/DB06605
APOMORPHINE|Apomorphine|http://www.drugbank.ca/drugs/DB00714
APRACLONIDINE|Apraclonidine|http://www.drugbank.ca/drugs/DB00964
APRAMYCIN|Apramycin|http://www.drugbank.ca/drugs/DB04626
APREPITANT|Aprepitant|http://www.drugbank.ca/drugs/DB00673
APRINDINE|Aprindine|http://www.drugbank.ca/drugs/DB01429
APROBARBITAL|Aprobarbital|http://www.drugbank.ca/drugs/DB01352
ARBEKACIN|Arbekacin|http://www.drugbank.ca/drugs/DB06696
ARBUTAMINE|Arbutamine|http://www.drugbank.ca/drugs/DB01102
ARECOLINE|Arecoline|http://www.drugbank.ca/drugs/DB04365
ARFORMOTEROL|Arformoterol|http://www.drugbank.ca/drugs/DB01274
ARGATROBAN ANHYDROUS, (21R)-|Argatroban|http://www.drugbank.ca/drugs/DB00278
ARGININE|L-Arginine|http://www.drugbank.ca/drugs/DB00125
ARIPIPRAZOLE|Aripiprazole|http://www.drugbank.ca/drugs/DB01238
ARSANILIC ACID|4-Aminophenylarsonic Acid|http://www.drugbank.ca/drugs/DB03006
ARSENIC TRIOXIDE|Arsenic trioxide|http://www.drugbank.ca/drugs/DB01169
ARSENOUS ACID|Trihydroxyarsenite(Iii)|http://www.drugbank.ca/drugs/DB04456
ARTEMETHER|Artemether|http://www.drugbank.ca/drugs/DB06697
ASCORBIC ACID|Vitamin C|http://www.drugbank.ca/drugs/DB00126
ASIMADOLINE|Asimadoline|http://www.drugbank.ca/drugs/DB05104
ASPARAGINE ANHYDROUS|L-Asparagine|http://www.drugbank.ca/drugs/DB00174
ASPARAGINE, D-|D-Asparagine|http://www.drugbank.ca/drugs/DB03943
ASPARTAME|Aspartame|http://www.drugbank.ca/drugs/DB00168
ASPARTIC ACID|L-Aspartic Acid|http://www.drugbank.ca/drugs/DB00128
ASPARTIC ACID, D-|D-Aspartic Acid|http://www.drugbank.ca/drugs/DB02655
ASPIRIN|Acetylsalicylic acid|http://www.drugbank.ca/drugs/DB00945
ASTEMIZOLE|Astemizole|http://www.drugbank.ca/drugs/DB00637
ATAZANAVIR|Atazanavir|http://www.drugbank.ca/drugs/DB01072
ATOMOXETINE|Atomoxetine|http://www.drugbank.ca/drugs/DB00289
ATOVAQUONE|Atovaquone|http://www.drugbank.ca/drugs/DB01117
AURANOFIN|Auranofin|http://www.drugbank.ca/drugs/DB00995
AVANAFIL|Avanafil|http://www.drugbank.ca/drugs/DB06237
AZACITIDINE|Azacitidine|http://www.drugbank.ca/drugs/DB00928
AZATADINE|Azatadine|http://www.drugbank.ca/drugs/DB00719
AZATHIOPRINE|Azathioprine|http://www.drugbank.ca/drugs/DB00993
AZELAIC ACID|Azelaic Acid|http://www.drugbank.ca/drugs/DB00548
AZIDOCILLIN|Azidocillin|http://www.drugbank.ca/drugs/DB08795
AZILSARTAN MEDOXOMIL|Azilsartan medoxomil|http://www.drugbank.ca/drugs/DB08822
AZITHROMYCIN ANHYDROUS|Azithromycin|http://www.drugbank.ca/drugs/DB00207
AZLOCILLIN|Azlocillin|http://www.drugbank.ca/drugs/DB01061
AZTREONAM|Aztreonam|http://www.drugbank.ca/drugs/DB00355
BACITRACIN A|Bacitracin|http://www.drugbank.ca/drugs/DB00626
BALSALAZIDE|Balsalazide|http://www.drugbank.ca/drugs/DB01014
BARBITAL|Barbital|http://www.drugbank.ca/drugs/DB01483
BATIMASTAT|Batimastat|http://www.drugbank.ca/drugs/DB03880
BECLOMETHASONE DIPROPIONATE|Beclomethasone|http://www.drugbank.ca/drugs/DB00394
BECOCALCIDIOL|Becocalcidiol|http://www.drugbank.ca/drugs/DB04891
BEDAQUILINE|Bedaquiline|http://www.drugbank.ca/drugs/DB08903
BENAZEPRIL|Benazepril|http://www.drugbank.ca/drugs/DB00542
BENOXINATE|Oxybuprocaine|http://www.drugbank.ca/drugs/DB00892
BENTIROMIDE|Bentiromide|http://www.drugbank.ca/drugs/DB00522
BENZENEBORONIC ACID|Phenyl Boronic Acid|http://www.drugbank.ca/drugs/DB01795
BENZETHIDINE|Benzethidine|http://www.drugbank.ca/drugs/DB01518
BENZOCAINE|Benzocaine|http://www.drugbank.ca/drugs/DB01086
BENZOFURAN|Benzofuran|http://www.drugbank.ca/drugs/DB04179
BENZOHYDROXAMIC ACID|Benzhydroxamic Acid|http://www.drugbank.ca/drugs/DB01924
BENZOIC ACID|Benzoic Acid|http://www.drugbank.ca/drugs/DB03793
BENZOPHENONE|Benzophenone|http://www.drugbank.ca/drugs/DB01878
BENZOYLECGONINE|Benzoylecgonine|http://www.drugbank.ca/drugs/DB01515
BENZPHETAMINE|Benzphetamine|http://www.drugbank.ca/drugs/DB00865
BENZTHIAZIDE|Benzthiazide|http://www.drugbank.ca/drugs/DB00562
BENZYL ALCOHOL|Benzyl alcohol|http://www.drugbank.ca/drugs/DB06770
BENZYL BENZOATE|Benzyl Benzoate|http://www.drugbank.ca/drugs/DB00676
BENZYL FORMATE|Formic Acid Benzyl Ester|http://www.drugbank.ca/drugs/DB04569
BENZYLAMINE|Benzylamine|http://www.drugbank.ca/drugs/DB02464
BENZYLMORPHINE|Benzylmorphine|http://www.drugbank.ca/drugs/DB01573
BERBERINE|Berberine|http://www.drugbank.ca/drugs/DB04115
BESIFLOXACIN|Besifloxacin|http://www.drugbank.ca/drugs/DB06771
BETACETYLMETHADOL|Betacetylmethadol|http://www.drugbank.ca/drugs/DB01522
BETAHISTINE|Betahistine|http://www.drugbank.ca/drugs/DB06698
BETAMETHASONE|Betamethasone|http://www.drugbank.ca/drugs/DB00443
BETAZOLE|Betazole|http://www.drugbank.ca/drugs/DB00272
BETHANIDINE|Bethanidine|http://www.drugbank.ca/drugs/DB00217
BEVIRIMAT|Bevirimat|http://www.drugbank.ca/drugs/DB06581
BEXAROTENE|Bexarotene|http://www.drugbank.ca/drugs/DB00307
BEZAFIBRATE|Bezafibrate|http://www.drugbank.ca/drugs/DB01393
BEZITRAMIDE|Bezitramide|http://www.drugbank.ca/drugs/DB01459
BIA-3-335 FREE BASE|BIA|http://www.drugbank.ca/drugs/DB03336
BICINE|Bicine|http://www.drugbank.ca/drugs/DB03709
BIFEPRUNOX|Bifeprunox|http://www.drugbank.ca/drugs/DB04888
BIMATOPROST|Bimatoprost|http://www.drugbank.ca/drugs/DB00905
BINODENOSON|Binodenoson|http://www.drugbank.ca/drugs/DB04853
BIOTIN|Biotin|http://www.drugbank.ca/drugs/DB00121
BIRICODAR DICITRATE|Biricodar dicitrate|http://www.drugbank.ca/drugs/DB04851
